,SummonerName,WinLoss,Champion,Q casts,W casts,E casts,R casts,ChampLevel,CS,Kills,Deaths,Assists,Exp,Damage,Shielding,Healing,Total Damage Taken,Wards Placed,Wards Killed,Vision Score,Penta Kills,Game Time seconds,Crowd Control,Time spent dead,Kill participation,Team damage percentage,Skillshots hit,Skillshots dodged,Solo kills,Turret plates taken,BOTTOM,JUNGLE,MIDDLE,TOP,UTILITY
1030,SuppyMike,0,Renekton,87,59,106,9,16,219,3,3,4,16194,11209,0,7768,34269,16,3,39,0,2041,41,104,0.17073170731707318,0.1464483365615629,11,150,1,2,0,0,0,1,0
1031,Holeeschit,0,Twitch,42,20,28,6,15,67,1,14,5,13679,9420,0,4327,29241,12,2,30,0,2041,234,419,0.14634146341463414,0.12307283038751245,15,118,0,1,0,1,0,0,0
1032,Gamesquirt,0,Diana,100,48,30,9,17,138,11,11,3,16712,21064,0,694,26902,13,3,20,0,2041,23,368,0.34146341463414637,0.2751957080020521,44,156,3,0,0,0,1,0,0
1033,HungLowe,0,Tristana,34,21,34,6,16,202,6,8,8,16476,20706,0,3582,25293,10,2,20,0,2041,38,288,0.34146341463414637,0.2705219846714031,15,50,4,4,1,0,0,0,0
1034,Seanskillin,0,Lux,37,43,172,14,15,97,5,6,6,14029,14142,1696,154,10893,26,11,72,0,2041,264,131,0.2682926829268293,0.18476114037746943,8,33,0,3,0,0,0,0,1
1035,Ausfreak,1,Jax,39,100,34,4,18,189,4,4,7,18877,12195,0,3770,20509,9,3,21,0,2041,80,128,0.4230769230769231,0.12389274596856881,8,14,1,1,0,0,0,1,0
1036,Wise Weasel,1,Kayn,177,115,55,17,18,65,9,7,3,18781,16259,0,15417,41907,6,3,22,0,2041,313,285,0.46153846153846156,0.16518487146435326,16,26,5,0,0,1,0,0,0
1037,Bucukaqi,1,Syndra,196,163,57,9,18,197,13,5,2,19209,27113,0,2482,20112,10,4,28,0,2041,348,214,0.5769230769230769,0.27544303008819776,25,35,8,4,0,0,1,0,0
1038,Whiskeyjàck,1,Kaisa,79,49,32,6,17,212,7,6,7,16613,19914,0,4039,17746,11,2,16,0,2041,0,212,0.5384615384615384,0.202308533370874,12,20,0,1,1,0,0,0,0
1039,MorganasBareFeet,1,Malphite,86,66,67,16,16,44,9,4,9,15587,22952,0,3629,21966,33,13,83,0,2041,422,141,0.6923076923076923,0.23317081910800613,31,40,4,0,0,0,0,0,1
1040,Ausfreak,1,Trundle,83,39,16,6,15,121,4,6,13,13548,10690,0,8951,29207,9,1,27,0,1690,190,190,0.4358974358974359,0.11320680262455925,26,12,1,3,0,0,0,1,0
1041,FunOcean,1,FiddleSticks,31,93,58,8,13,40,2,13,20,11170,17597,0,6039,25742,0,4,33,0,1690,701,391,0.5641025641025641,0.1863450752359358,12,20,0,0,0,1,0,0,0
1042,Bucukaqi,1,Malzahar,117,73,115,12,17,175,8,5,16,17408,26302,0,2804,17581,2,3,12,0,1690,565,109,0.6153846153846154,0.27851822630748685,13,18,3,2,0,0,1,0,0
1043,Holz,1,Jinx,98,50,12,9,15,169,15,6,15,14285,25453,0,2343,16662,10,1,12,0,1690,120,180,0.7692307692307693,0.2695291660246256,11,13,1,0,1,0,0,0,0
1044,Bilboo,1,Pyke,56,31,27,15,15,47,13,9,11,13196,14392,0,3121,22147,24,6,43,0,1690,141,233,0.6153846153846154,0.15240072980739244,21,24,1,0,0,0,0,0,1
1045,SuppyMike,0,Renekton,62,35,77,9,14,147,4,9,5,12013,10640,0,3160,32220,9,0,25,0,1690,62,312,0.21428571428571427,0.12095158823657852,30,12,1,5,0,0,0,1,0
1046,HomeBrandPotato ,0,Shyvana,111,82,77,13,15,32,5,8,8,13943,20635,0,5965,28314,3,2,18,0,1690,150,224,0.30952380952380953,0.2345643226131855,17,24,1,3,0,1,0,0,0
1047,KATSLOVEKATSLIFE,0,Katarina,77,57,0,12,15,131,20,10,3,14390,29903,0,1321,30123,10,1,18,0,1690,90,351,0.5476190476190477,0.3399116412767221,55,27,11,1,0,0,1,0,0
1048,Astathius,0,Vayne,81,0,9,8,14,146,9,5,9,12981,20149,0,2321,15584,10,9,29,0,1690,78,121,0.42857142857142855,0.22903996258941303,13,31,0,3,1,0,0,0,0
1049,Auscurlfe,0,Blitzcrank,25,31,24,14,12,22,1,10,17,9702,6644,1592,0,23214,15,3,29,0,1690,93,251,0.42857142857142855,0.07553248528410088,37,41,0,2,0,0,0,0,1
1050,Ausfreak,0,Jax,23,43,23,3,13,123,4,6,1,10552,7557,0,979,13407,5,1,10,0,1314,56,152,0.15151515151515152,0.17969023878457377,9,36,2,3,0,0,0,1,0
1051,T1 JustLikeThat,0,Nidalee,201,168,80,197,11,13,5,5,2,8478,11843,0,7849,21901,4,2,14,0,1314,156,104,0.21212121212121213,0.2815896325064103,6,31,2,3,0,1,0,0,0
1052,Bucukaqi,0,Zed,72,59,57,10,11,91,3,11,4,8091,13364,0,1243,17341,6,2,11,0,1314,79,261,0.21212121212121213,0.31775892786448495,17,50,0,0,0,0,1,0,0
1053,Sól,0,Aphelios,26,69,0,4,11,147,1,3,2,8516,4297,0,1871,7063,5,0,6,0,1314,101,58,0.09090909090909091,0.10217902330029774,3,17,0,0,1,0,0,0,0
1054,Bilboo,0,Pyke,50,29,23,3,8,30,2,8,3,5036,4995,0,1833,12770,20,3,30,0,1314,77,162,0.15151515151515152,0.11878217754423327,13,50,0,0,0,0,0,0,1
1055,DumpleDorf,1,Irelia,141,10,36,4,13,177,5,3,2,11354,9686,0,1755,14980,6,2,14,0,1314,42,98,0.4666666666666667,0.18456340467676235,10,10,4,3,0,0,0,1,0
1056,I feel no,1,Shaco,39,53,32,21,12,15,12,4,7,8990,14960,0,3624,15251,4,4,24,0,1314,437,83,1.2666666666666666,0.28503933702640627,9,40,2,0,0,1,0,0,0
1057,YasuoOneTrickk,1,Malphite,45,38,33,7,12,99,4,5,10,9878,11541,0,1192,12922,6,0,14,0,1314,449,111,0.9333333333333333,0.2199105086347317,48,38,1,0,0,0,1,0,0
1058,Khaos69,1,Jinx,58,28,13,5,13,154,6,0,9,11059,12213,0,352,7893,7,1,13,0,1314,41,0,1.0,0.23270188711557555,18,24,0,5,1,0,0,0,0
1059,fergarama,1,Alistar,21,18,17,3,11,35,6,3,13,7833,4082,0,7064,8719,12,8,42,0,1314,146,40,1.2666666666666666,0.07778486254652414,31,43,0,2,0,0,0,0,1
1060,Charles Lee,0,Akshan,60,8,109,6,14,118,6,13,9,11879,18906,0,1509,26837,5,2,8,0,1674,1,341,0.3191489361702128,0.24581141404021123,56,28,1,0,0,0,0,1,0
1061,SPN,0,Shen,99,26,34,5,13,41,8,9,9,11260,12816,2408,5956,30185,8,6,24,0,1674,459,253,0.3617021276595745,0.16663092592863452,60,48,1,0,0,1,0,0,0
1062,SEE U SweeTie,0,Cassiopeia,110,54,238,10,13,111,4,10,11,11017,15673,0,2141,20259,6,2,12,0,1674,602,252,0.3191489361702128,0.20376891732505803,43,35,1,1,0,0,1,0,0
1063,DaRubberDucky,0,Jhin,45,33,28,24,14,145,7,7,12,12607,17615,0,3631,21854,8,0,13,0,1674,141,152,0.40425531914893614,0.22902824907305158,27,23,0,0,1,0,0,0,0
1064,George Anderson,0,Bard,44,26,31,10,13,14,4,8,16,10791,11903,2217,3294,20204,16,1,27,0,1674,249,206,0.425531914893617,0.15476049363304462,30,30,0,0,0,0,0,0,1
1065,Frommoh,1,Rumble,100,99,106,10,15,116,11,6,9,13180,23860,0,3053,23791,3,1,17,0,1674,201,193,0.6896551724137931,0.2351158322196815,32,55,3,4,0,0,0,1,0
