,SummonerName,WinLoss,Champion,Q casts,W casts,E casts,R casts,ChampLevel,CS,Kills,Deaths,Assists,Exp,Damage,Shielding,Healing,Total Damage Taken,Wards Placed,Wards Killed,Vision Score,Penta Kills,Game Time seconds,Crowd Control,Time spent dead,Kill participation,Team damage percentage,Skillshots hit,Skillshots dodged,Solo kills,Turret plates taken,BOTTOM,JUNGLE,MIDDLE,TOP,UTILITY
0,Fizz on ur Jayce,0,Tryndamere,25,36,92,13,18,77,9,12,29,33456,25821,0,14512,49491,0,0,0,0,1715,257,425,0.475,0.13788841330990284,71,106,1,0,0,0,0,1,0
1,Arion,0,Sion,92,45,51,18,18,83,23,19,20,31118,44513,0,4645,88184,0,0,0,0,1715,734,531,0.5375,0.23770035687023439,96,164,2,0,0,0,0,1,0
2,ElmoKillsYou,0,Lissandra,82,37,42,8,18,67,5,16,35,28187,19801,0,2888,37464,0,0,0,0,1715,412,442,0.5,0.10574028436770286,61,54,0,0,0,0,1,0,0
3,KaleidoGhost,0,Teemo,70,32,0,80,18,47,8,16,29,33061,49485,0,1459,37805,0,0,0,0,1715,620,460,0.4625,0.26424990866262155,50,71,1,0,0,0,0,1,0
4,SCIENC3,0,Sivir,75,75,43,15,18,122,21,17,29,29762,47644,0,1682,44464,0,0,0,0,1715,60,549,0.625,0.25442103678953837,63,100,2,0,1,0,0,0,0
5,LTae,1,Seraphine,174,71,114,18,18,74,7,16,52,34097,37424,6748,6005,40230,0,0,0,0,1715,228,449,0.8939393939393939,0.15842726685320543,41,30,0,0,0,0,0,0,1
6,Eitakei,1,Azir,50,154,3,16,18,116,25,15,30,33944,94329,0,3601,35516,0,0,0,0,1715,211,460,0.8333333333333334,0.3993245023297033,48,28,1,0,0,0,1,0,0
7,Gothulicious,1,Zilean,303,223,127,19,18,95,13,8,51,38952,29592,0,15087,26863,0,0,0,0,1715,405,242,0.9696969696969697,0.12527218015742833,24,20,0,0,0,0,0,0,1
8,Ausfreak,1,Skarner,135,75,62,13,18,20,13,14,42,29591,26028,0,2734,43956,0,0,0,0,1715,287,427,0.8333333333333334,0.11018736802952542,60,57,1,0,0,1,0,0,0
9,BeyondRevenant,1,Riven,280,56,118,29,18,81,22,13,17,35173,48848,0,13455,53063,0,0,0,0,1715,90,377,0.5909090909090909,0.2067886826301375,67,57,0,0,0,0,0,1,0
10,leBigMAK,0,Gangplank,130,7,94,7,15,234,5,3,4,14454,16004,0,1670,14645,11,4,24,0,1628,219,72,0.2647058823529412,0.2938827875487268,38,12,1,0,0,0,0,1,0
11,MrPopsicles,0,Nocturne,71,14,25,15,12,22,3,5,6,9632,8569,0,8041,23191,1,5,14,0,1628,448,150,0.2647058823529412,0.15735149628030917,22,14,0,0,0,1,0,0,0
12,FPX MLXB,0,Lissandra,97,18,21,14,13,123,2,8,1,10490,12699,0,1159,22081,7,0,11,0,1628,205,239,0.08823529411764706,0.23320089662284865,58,24,1,1,0,0,1,0,0
13,peedrinker123,0,Varus,61,24,34,9,12,163,1,9,4,9951,8350,0,1988,14427,8,1,9,0,1628,219,244,0.14705882352941177,0.15334362420986417,14,5,0,0,1,0,0,0,0
14,AfroNardo,0,Malphite,47,15,21,6,11,19,2,9,3,8100,8834,0,0,11035,28,2,43,0,1628,195,127,0.14705882352941177,0.16222119533825122,38,18,0,0,0,0,0,0,1
15,Sanj leh,1,Kayle,58,31,48,4,15,165,3,3,4,14234,9129,0,2961,13828,10,4,23,0,1628,243,91,0.5384615384615384,0.1308177355421982,4,17,0,0,0,0,0,1,0
16,Matrox,1,Nunu,89,57,174,13,14,28,4,3,14,12860,11569,0,15377,28783,6,1,17,0,1628,366,57,1.3846153846153846,0.16577718573735076,25,24,2,2,0,1,0,0,0
17,kai tomac,1,Zed,71,39,77,9,15,170,7,5,3,13031,18654,0,1225,15041,8,0,11,0,1628,165,142,0.7692307692307693,0.26730215751383357,33,41,0,3,0,0,1,0,0
18,WhippedCrm,1,Lucian,86,41,68,10,16,207,17,1,5,16126,22594,0,2369,16411,6,0,18,0,1628,81,8,1.6923076923076923,0.32374700898024117,16,26,3,5,1,0,0,0,0
19,Ausfreak,1,Blitzcrank,20,36,26,11,13,30,3,1,17,11088,7841,0,1938,13623,18,11,58,0,1628,114,33,1.5384615384615385,0.1123559122263763,22,50,0,3,0,0,0,0,1
20,SoggyCarrots,0,Sion,65,57,47,9,15,205,1,14,1,13461,11349,0,2279,53023,2,0,3,0,1829,974,379,0.044444444444444446,0.1517086673660213,61,32,0,3,0,0,0,1,0
21,BamboonOnAcid,0,Ekko,112,35,85,10,15,66,9,7,6,14205,17063,0,9490,32561,3,2,16,0,1829,458,223,0.3333333333333333,0.2280816364167333,26,21,0,0,0,1,0,0,0
22,Pokiee,0,Leblanc,87,117,56,24,14,149,6,8,9,12874,20419,0,2384,28899,9,4,25,0,1829,52,244,0.3333333333333333,0.27294658823911494,26,16,1,0,0,0,1,0,0
23,zarachful,0,Ashe,18,69,14,10,14,196,3,8,7,12228,16643,0,1871,21550,8,2,19,0,1829,785,193,0.2222222222222222,0.22247450297862728,22,7,0,0,1,0,0,0,0
24,Tingl,0,Soraka,110,31,29,6,13,17,0,8,9,11067,9335,597,16464,19758,14,4,31,0,1829,244,183,0.2,0.12478860499950319,17,15,0,0,0,0,0,0,1
25,sex sounds fuark,1,Yone,315,92,40,8,18,248,14,4,1,20447,38390,0,1783,27860,9,1,25,0,1829,212,146,0.7894736842105263,0.2878682236980311,33,40,10,2,0,0,0,1,0
26,Frommoh,1,Volibear,41,132,81,8,16,22,6,4,18,15363,14881,0,12391,34573,3,4,23,0,1829,425,93,1.263157894736842,0.11158536260310474,70,122,0,3,0,1,0,0,0
27,DragoonSlayeer,1,Kaisa,79,75,38,8,16,187,8,5,10,15721,42188,0,1761,13801,10,0,20,0,1829,33,142,0.9473684210526315,0.3163501239758359,25,27,1,5,0,0,1,0,0
28,Koonta,1,Tristana,26,29,33,7,16,159,13,2,9,14748,28618,0,4924,20108,12,2,30,0,1829,27,77,1.1578947368421053,0.21459282523021614,47,74,2,0,1,0,0,0,0
29,Ausfreak,1,Nami,44,61,72,7,15,8,4,4,21,13694,9282,0,12225,13795,13,7,42,0,1829,199,122,1.3157894736842106,0.06960346449281211,43,79,0,0,0,0,0,0,1
30,Jashroin,0,Garen,91,37,68,16,18,195,14,9,13,22199,41351,0,7517,52737,8,0,13,0,2436,315,363,0.43548387096774194,0.2001550649761843,44,19,4,5,0,0,0,1,0
31,Frommoh,0,Lillia,249,105,86,13,18,116,24,8,18,27297,65857,0,24625,55002,5,4,25,0,2436,365,319,0.6774193548387096,0.31877474703290387,18,16,6,2,0,1,0,0,0
32,Elevating,0,Amumu,87,114,122,19,18,166,4,20,18,20228,25872,0,2203,42874,14,2,25,0,2436,272,651,0.3548387096774194,0.1252330322234622,30,12,1,3,0,0,1,0,0
33,MilkyWayMike,0,Ezreal,383,64,53,17,18,214,23,12,10,23268,58622,0,4637,35721,13,3,22,0,2436,150,408,0.532258064516129,0.2837553023190114,29,5,8,0,1,0,0,0,0
34,Ausfreak,0,Blitzcrank,35,63,40,19,16,34,3,13,24,16452,14891,1908,516,31959,26,10,82,0,2436,164,459,0.43548387096774194,0.07208185344843825,34,15,0,0,0,0,0,0,1
35,Hearnbingy,1,Urgot,44,218,26,14,18,247,9,12,10,21646,32537,0,6903,49800,12,2,22,0,2436,393,491,0.27941176470588236,0.18865687643608567,48,20,3,2,0,0,0,1,0
36,Equ1n0x,1,Warwick,114,18,61,15,18,54,21,13,18,22223,37204,0,40600,79428,12,2,24,0,2436,241,431,0.5735294117647058,0.21571972957508478,53,20,3,0,0,1,0,0,0
37,baitsuo,1,Yasuo,313,22,152,13,18,156,9,17,15,20255,34657,0,4999,43333,16,1,33,0,2436,161,654,0.35294117647058826,0.20095015138827835,31,17,5,2,0,0,1,0,0
38,PhilDeezNutz,1,Kalista,76,0,130,7,18,169,16,14,15,19900,29275,0,7869,41684,13,3,25,0,2436,158,489,0.45588235294117646,0.16974757099392387,62,41,2,4,1,0,0,0,0
39,NoFapToDiamond,1,Morgana,103,120,27,11,18,128,7,12,29,20639,38792,1987,9184,36164,23,3,51,0,2436,183,463,0.5294117647058824,0.22492567160662735,63,34,1,4,0,0,0,0,1
40,Kingdomkey93,0,Gangplank,179,32,84,7,14,135,7,6,13,11451,25877,0,7262,20268,5,2,12,0,1497,215,183,0.46511627906976744,0.4317811384656852,11,0,2,3,0,0,0,1,0
41,Frommoh,0,Poppy,83,18,33,7,13,28,8,8,4,10025,9389,0,4379,22230,6,4,22,0,1497,522,223,0.27906976744186046,0.15667320347095068,15,4,1,0,0,1,0,0,0
42,Ausfreak,0,Ahri,49,68,23,20,11,105,3,7,6,8360,8065,0,1732,12488,6,1,10,0,1497,25,199,0.20930232558139536,0.13457083868337938,14,4,0,3,0,0,1,0,0
43,lolove,0,Draven,65,54,14,7,11,87,2,11,6,8397,8093,0,2067,16649,6,2,9,0,1497,46,244,0.18604651162790697,0.1350445480189354,12,11,0,0,1,0,0,0,0
44,huykute,0,Galio,26,29,34,3,11,19,5,11,12,7344,8506,409,672,20018,9,1,19,0,1497,260,237,0.3953488372093023,0.14193027136104927,15,9,1,1,0,0,0,0,1
45,Lamour,1,Vladimir,174,8,54,6,13,124,5,6,4,10261,13978,0,14243,20204,10,0,16,0,1497,90,120,0.36,0.176821319412016,27,13,0,2,0,0,0,1,0
46,Count Vronsky,1,Nocturne,84,15,43,16,14,4,6,6,10,11699,15636,0,9586,22330,7,3,22,0,1497,354,192,0.64,0.19779496733645927,22,23,4,0,0,1,0,0,0
47,baitsuo,1,Yasuo,166,11,95,5,13,100,6,9,9,11320,13520,0,1351,18066,9,0,32,0,1497,76,265,0.6,0.17102694017913836,28,39,3,2,0,0,1,0,0
48,PhilDeezNutz,1,Kalista,56,0,96,6,14,153,24,1,5,11613,27026,0,2433,13840,10,3,26,0,1497,176,42,1.16,0.3418714753531012,26,22,2,5,1,0,0,0,0
49,Ragefirebear,1,Leona,45,40,31,10,13,40,2,3,23,9994,8892,524,471,13115,23,5,43,0,1497,84,94,1.0,0.1124852977192852,31,33,0,2,0,0,0,0,1
50,Bucukaqi,1,Sion,42,38,24,4,12,141,6,3,2,9783,11970,0,433,11386,5,0,8,0,990,350,86,0.6666666666666666,0.2742316369948213,3,1,4,9,0,0,0,1,0
51,ekkolocation,1,Warwick,59,4,27,3,10,5,5,1,6,6872,7605,0,8325,12258,1,0,19,0,990,335,27,0.9166666666666666,0.1742413631397854,10,5,1,3,0,1,0,0,0
52,Bad4SSBilbo,1,Lux,35,19,89,7,10,98,4,2,4,7219,6925,393,0,4022,5,1,9,0,990,221,42,0.6666666666666666,0.15866231559340033,5,0,0,2,0,0,1,0,0
53,SammyD977,1,Samira,59,8,19,5,10,108,10,4,2,6914,15897,0,1052,11014,6,0,10,0,990,1,76,1.0,0.3641929994581755,51,23,7,0,1,0,0,0,0
54,Ausfreak,1,Pyke,27,24,16,1,9,23,0,2,3,5453,1251,0,1076,5472,8,4,18,0,990,43,42,0.25,0.02867168481381751,27,11,0,0,0,0,0,0,1
55,queenbabe,0,Jax,29,35,30,4,11,116,3,4,0,7525,7105,0,2582,11701,3,0,4,0,990,74,61,0.12,0.24011486447297392,10,8,1,0,0,0,0,1,0
56,tobrcbzxi,0,Kayn,57,25,20,6,9,11,3,8,5,5862,5530,0,3686,15487,0,1,5,0,990,84,137,0.32,0.18690721235266652,7,17,0,0,0,1,0,0,0
57,oolzrdr,0,Veigar,61,28,12,4,10,85,4,5,1,6828,5913,0,0,8289,7,0,16,0,990,25,93,0.2,0.19982124822793104,16,22,2,1,0,0,1,0,0
58,IEatFood,0,Xayah,39,18,18,3,8,90,1,4,4,4620,7953,291,690,8465,5,0,7,0,990,10,90,0.2,0.268773263368287,9,4,0,1,1,0,0,0,0
59,BigMommyMilky,0,Rakan,18,21,31,3,8,24,0,4,5,4407,3088,1226,1827,8803,12,2,23,0,990,38,90,0.2,0.10438341157814153,15,15,0,1,0,0,0,0,1
60,Perineum,1,Gangplank,100,11,61,4,12,128,7,1,8,9915,12458,0,2352,11107,4,0,6,0,1097,154,14,2.5,0.2620206823549407,3,4,3,5,0,0,0,1,0
61,PUNJABKEBAB,1,LeeSin,114,106,90,6,11,12,7,1,11,8193,5934,117,4137,11953,7,0,11,0,1097,354,21,3.0,0.12481465135785239,4,5,0,3,0,1,0,0,0
62,410,1,Yone,153,44,25,5,11,103,7,2,9,8522,12700,0,1098,13422,6,1,16,0,1097,152,38,2.6666666666666665,0.2671184035167038,12,12,0,4,0,0,1,0,0
63,FoCG Johni,1,Ashe,25,59,5,6,12,127,10,1,10,8615,11928,0,476,6554,5,0,11,0,1097,457,27,3.3333333333333335,0.2508752247426259,9,6,1,5,1,0,0,0,0
64,Banzhee,1,Renata,28,8,35,4,10,7,1,1,19,6958,4525,2412,1711,6949,12,1,29,0,1097,235,27,3.3333333333333335,0.0951710380278772,8,13,0,8,0,0,0,0,1
65,bozhiii,0,MonkeyKing,51,10,34,8,11,106,1,8,0,7707,8441,0,657,14937,3,1,5,0,1097,28,160,0.030303030303030304,0.2993623175797571,15,22,1,0,0,0,0,1,0
66,OceanTide,0,Shyvana,73,53,63,8,10,33,3,2,0,7198,6695,0,4322,16007,6,3,12,0,1097,149,27,0.09090909090909091,0.23743442753631608,15,27,0,0,0,1,0,0,0
67,Bucukaqi,0,Kaisa,60,25,36,5,11,115,2,8,3,7762,7453,0,564,12644,6,0,8,0,1097,3,172,0.15151515151515152,0.26432646890708367,16,22,2,0,0,0,1,0,0
68,eRWallis,0,Draven,31,23,9,4,9,90,0,11,0,5652,4328,0,316,13085,3,0,4,0,1097,54,165,0.0,0.15350660914744926,29,68,0,1,1,0,0,0,0
69,Ausfreak,0,Leona,8,11,6,1,7,10,0,4,0,3209,1279,0,45,6138,3,0,4,0,1097,52,65,0.0,0.045370176829393837,10,32,0,0,0,0,0,0,1
70,IM GR00T,0,Irelia,139,24,70,5,13,128,2,5,1,10270,6529,0,1810,17425,7,3,14,0,1451,81,112,0.07692307692307693,0.12291776534350925,3,0,0,0,0,0,0,1,0
71,eRWallis,0,Kayn,87,41,23,12,12,34,3,9,3,9371,10801,0,9218,28429,4,3,16,0,1451,112,249,0.15384615384615385,0.20332539516336104,29,25,2,0,0,1,0,0,0
72,oatsandyogurt,0,Draven,49,37,18,8,12,123,4,11,2,9242,13906,0,925,18324,7,1,17,0,1451,72,333,0.15384615384615385,0.2617678400363773,26,21,1,1,0,0,1,0,0
73,Ricochet Thunder,0,Xayah,74,15,40,4,11,139,2,8,3,8207,12659,0,801,16277,5,1,9,0,1451,39,198,0.1282051282051282,0.23829784159817738,17,23,0,1,1,0,0,0,0
74,Bowling,0,Morgana,55,53,12,5,11,24,2,6,4,8422,9227,265,1242,12870,14,6,48,0,1451,84,113,0.15384615384615385,0.17369115785857503,23,17,0,1,0,0,0,0,1
75,JeanHuggins,1,Mordekaiser,103,51,52,6,16,204,9,2,3,15629,20365,0,5127,19183,8,2,20,0,1451,47,33,0.9230769230769231,0.2756928224519316,25,55,7,4,0,0,0,1,0
76,Flagged 2317589,1,Khazix,154,90,24,18,11,4,5,4,2,7911,10238,0,10340,24773,7,1,14,0,1451,283,134,0.5384615384615384,0.13859845926196163,20,10,2,0,0,1,0,0,0
77,Bucukaqi,1,Zed,75,65,63,16,15,160,11,2,3,13703,16869,0,1873,13300,3,2,10,0,1451,90,92,1.0769230769230769,0.22837314091380928,19,7,8,4,0,0,1,0,0
78,Śwallow,1,Vayne,86,0,11,6,14,146,13,2,5,11606,21732,0,4213,18702,7,0,14,0,1451,129,60,1.3846153846153846,0.2941988332276204,65,18,3,0,1,0,0,0,0
79,Ausfreak,1,Nautilus,19,13,11,4,11,31,1,3,9,7561,4663,256,1562,11824,12,3,26,0,1451,192,84,0.7692307692307693,0.06313674414467703,56,23,0,1,0,0,0,0,1
80,SSaiyan3,1,MonkeyKing,141,58,71,26,17,170,12,5,14,18355,26245,0,9804,32268,13,2,32,0,2018,106,166,0.7428571428571429,0.21043367129794324,38,337,3,0,0,0,0,1,0
81,RelentlessLIVE,1,Kayn,136,88,67,22,16,40,17,9,3,16382,28240,0,11932,31083,4,4,26,0,2018,250,295,0.5714285714285714,0.2264313844181682,20,147,0,0,0,1,0,0,0
82,Bucukaqi,1,Kaisa,113,79,172,11,18,199,13,9,13,18873,40582,0,310,23769,10,1,21,0,2018,21,385,0.7428571428571429,0.32538657279819055,32,59,4,3,0,0,1,0,0
83,Ichizou,1,Jinx,100,38,22,7,17,176,6,8,24,16638,20503,0,3828,19904,6,1,12,0,2018,73,228,0.8571428571428571,0.16439709263777538,39,112,1,4,1,0,0,0,0
84,Ausfreak,1,Blitzcrank,29,45,25,10,15,29,1,4,16,14012,9148,159,3528,17840,22,5,53,0,2018,249,97,0.4857142857142857,0.07335127884792261,44,147,0,4,0,0,0,0,1
85,P00P NUGGET ,0,Akali,132,32,67,27,16,174,10,7,3,15192,24129,0,2190,36857,12,3,27,0,2018,64,267,0.2653061224489796,0.2483063975490029,22,20,2,4,0,0,0,1,0
86,zDart,0,MasterYi,79,5,44,13,16,35,12,9,5,15332,25429,0,9095,39821,6,6,22,0,2018,232,348,0.3469387755102041,0.26168130304739606,32,18,3,1,0,1,0,0,0
87,IGOROT HH,0,Malphite,57,47,59,15,16,128,7,13,10,15699,24126,0,351,30566,12,0,18,0,2018,483,470,0.3469387755102041,0.24827343566991852,29,16,2,0,0,0,1,0,0
88,lil yumyum scwub,0,Ashe,32,81,15,16,14,164,2,10,9,12144,11854,0,2264,24662,4,1,22,0,2018,592,322,0.22448979591836735,0.1219897337815747,33,22,1,2,1,0,0,0,0
89,Grubenstien,0,Lulu,50,50,37,13,13,28,4,10,9,11398,11636,1292,1074,22198,25,3,56,0,2018,239,283,0.2653061224489796,0.11974912995210779,28,24,0,2,0,0,0,0,1
90,The Law of One,1,Nocturne,62,21,20,16,13,113,5,5,6,11364,10113,0,2388,14331,11,0,21,0,1451,308,123,0.6875,0.18114756054010456,19,33,1,4,0,0,0,1,0
91,AngryArni,1,Volibear,72,106,69,4,14,57,11,0,5,11669,14013,0,8573,17277,2,2,11,0,1451,446,0,1.0,0.2510088792992948,31,45,0,3,0,1,0,0,0
92,ezeraith,1,Graves,56,16,22,9,14,171,5,4,6,11705,13297,0,81,14298,3,1,5,0,1451,136,149,0.6875,0.23818600014105454,26,30,1,5,0,0,1,0,0
93,Meokai,1,MissFortune,47,23,19,4,12,156,1,4,6,9364,8066,0,1323,9509,10,3,26,0,1451,120,95,0.4375,0.14447917010673686,21,28,0,2,1,0,0,0,0
94,Fekoo,1,Zilean,111,33,48,4,11,14,2,3,12,8273,10338,0,3764,6382,17,7,47,0,1451,65,71,0.875,0.18517838991280927,17,22,0,2,0,0,0,0,1
95,StefanS33,0,XinZhao,39,39,0,8,13,141,4,7,2,10971,10934,0,5108,24511,6,1,11,0,1451,197,239,0.25,0.2526684653405567,31,59,4,4,0,0,0,1,0
96,HipsterNami,0,Viego,140,76,25,12,12,20,9,5,2,9409,13769,0,13003,27120,1,1,10,0,1451,125,164,0.4583333333333333,0.31819984182074534,35,52,1,2,0,1,0,0,0
97,NeonSlug,0,Ahri,65,56,26,15,12,116,3,6,1,8874,8074,0,1563,12916,6,1,12,0,1451,45,165,0.16666666666666666,0.18658629133737384,29,52,0,0,0,0,1,0,0
98,AlmondEye,0,Ashe,15,56,7,6,12,148,0,3,6,9356,5501,0,1435,9583,6,0,13,0,1451,553,55,0.25,0.12713031929195884,23,47,0,2,1,0,0,0,0
99,Ausfreak,0,Nami,22,31,53,6,10,10,0,3,10,6980,4994,0,4678,6488,16,5,31,0,1451,169,62,0.4166666666666667,0.11541508220936525,17,35,0,2,0,0,0,0,1
100,8enlahadad,1,Urgot,24,152,18,4,13,138,3,0,3,11284,6281,0,3137,8779,5,1,10,0,1306,152,0,0.8571428571428571,0.14937450080179404,11,5,1,5,0,0,0,1,0
101,Onelmao,1,Viego,129,76,52,12,13,20,6,2,6,10375,9388,0,8874,14632,3,1,15,0,1306,165,26,1.7142857142857142,0.22325995717185632,20,12,0,2,0,1,0,0,0
102,Kwixx,1,Vex,82,19,31,10,12,118,4,1,4,9939,8728,0,1032,6533,8,3,19,0,1306,398,10,1.1428571428571428,0.2075593078527978,18,14,2,2,0,0,1,0,0
103,Sniperdx,1,Tristana,38,23,25,3,12,95,5,1,5,9063,6812,0,1631,9027,7,0,11,0,1306,8,27,1.4285714285714286,0.16199806306161432,30,20,0,2,1,0,0,0,0
104,Wessie,1,Lux,35,15,91,6,11,31,2,3,6,7668,10841,491,598,5914,11,3,28,0,1306,200,63,1.1428571428571428,0.25780817111193755,18,9,0,0,0,0,0,0,1
105,phgimkfu,0,Garen,23,4,27,0,10,84,0,2,0,6382,890,0,8,6729,6,0,7,0,1306,36,37,0.0,0.034740450989540435,9,4,0,0,0,0,0,1,0
106,MAMMY EATER,0,Hecarim,131,36,34,5,10,44,4,4,1,7124,4622,0,6134,17530,1,2,7,0,1306,177,109,0.25,0.18029829615182535,13,9,1,0,0,1,0,0,0
107,Billy Ray Cyrus,0,Ahri,58,41,12,13,12,128,0,3,3,9159,6497,0,2737,12679,6,1,15,0,1306,17,71,0.15,0.2534028543878152,22,8,0,0,0,0,1,0,0
108,Zenkai no,0,Xayah,46,15,25,4,10,111,3,7,1,6675,9842,0,1065,14398,7,1,13,0,1306,11,165,0.2,0.3838750272061295,23,10,0,0,1,0,0,0,0
109,Ausfreak,0,Nami,14,32,38,4,8,6,0,4,4,4791,3786,0,4129,8343,8,5,20,0,1306,118,86,0.2,0.14768337126468953,12,12,0,0,0,0,0,0,1
110,Elegie,1,Kayle,50,32,63,2,15,150,8,3,0,13667,13714,0,2774,13127,3,0,8,0,1451,226,78,0.5,0.2213741324973148,0,0,4,5,0,0,0,1,0
111,TheHighGround93,1,Viego,170,90,64,14,14,19,8,4,10,12106,14776,0,13681,26135,5,2,19,0,1451,297,111,1.125,0.23851150961066553,8,8,1,0,0,1,0,0,0
112,drop skin ,1,Kaisa,85,54,107,5,14,172,6,4,11,12270,17636,0,1240,10935,10,1,21,0,1451,34,113,1.0625,0.2846666290406946,8,7,2,0,0,0,1,0,0
113,xjSS4Ux,1,Ezreal,176,23,16,4,12,148,4,5,6,8997,11176,0,723,10238,6,1,9,0,1451,34,122,0.625,0.1804015138881569,6,4,0,0,1,0,0,0,0
114,jjONZA,1,Blitzcrank,22,25,21,7,11,35,2,0,7,8208,4649,100,214,5569,21,4,48,0,1451,72,0,0.5625,0.07504621496316813,6,5,1,0,0,0,0,0,1
115,Fepstre,0,Shen,94,13,21,4,14,161,2,6,3,11632,8049,2218,890,18626,9,0,16,0,1451,1082,197,0.17857142857142858,0.1907317419114324,15,20,1,1,0,0,0,1,0
116,Frommoh,0,Elise,118,107,57,90,13,19,3,4,5,10156,10584,0,5622,18724,4,4,19,0,1451,131,92,0.2857142857142857,0.2507978815825943,25,14,1,0,0,1,0,0,0
117,CloudAron,0,Pantheon,69,19,11,3,12,102,6,8,3,9460,12685,0,1435,19568,4,2,10,0,1451,30,232,0.32142857142857145,0.30059115107182555,31,18,3,1,0,0,1,0,0
118,Varza,0,Draven,50,64,12,7,11,130,3,6,3,7680,7240,0,1891,12680,4,0,6,0,1451,42,120,0.21428571428571427,0.17156087857199992,28,12,0,0,1,0,0,0,0
119,Ausfreak,0,Nami,19,26,54,4,10,7,2,4,4,7201,3642,0,4634,9246,7,2,11,0,1451,94,56,0.21428571428571427,0.08631834686214786,20,23,0,0,0,0,0,0,1
120,sadtrolley,1,Sion,98,103,69,11,18,228,8,6,9,21121,17384,0,8387,40233,15,1,26,0,2512,1347,214,0.4722222222222222,0.1263330821469468,46,20,3,3,0,0,0,1,0
121,Frommoh,1,Lillia,195,84,72,12,18,52,10,9,19,18822,43108,0,22548,46350,6,4,30,0,2512,306,311,0.8055555555555556,0.3132611857109707,24,14,0,0,0,1,0,0,0
122,Kazehaya,1,Yasuo,424,22,196,9,18,240,17,9,13,22674,36922,0,8053,40805,11,2,21,0,2512,177,305,0.8333333333333334,0.2683132450340102,29,27,3,1,0,0,1,0,0
123,n4ko ,1,Caitlyn,102,37,10,6,18,260,9,5,19,19038,29008,0,3603,20380,13,6,34,0,2512,114,209,0.7777777777777778,0.21079953665056858,12,9,0,1,1,0,0,0,0
124,Ausfreak,1,Nautilus,48,36,41,9,16,35,3,7,30,15341,11186,2341,3236,22416,27,13,73,0,2512,440,233,0.9166666666666666,0.08129295045750366,18,20,0,0,0,0,0,0,1
125,ThuocLao Vietnam,0,Jayce,178,104,117,170,18,230,11,9,4,20535,42695,0,2144,33889,10,3,24,0,2512,366,342,0.3191489361702128,0.3246823974409149,43,32,5,5,0,0,0,1,0
126,Ping3r,0,Diana,142,61,80,11,18,95,8,7,9,21997,33495,0,10832,35979,3,9,43,0,2512,246,266,0.3617021276595745,0.25472167148792235,19,24,1,4,0,1,0,0,0
127,Nolsey,0,Riven,284,63,90,27,18,254,10,6,10,21140,33466,0,4365,29934,15,1,25,0,2512,158,180,0.425531914893617,0.2544986407131287,26,29,5,3,0,0,1,0,0
128,Sheré Khan,0,Renekton,68,31,99,8,17,217,3,13,9,16810,11212,0,5527,41085,14,2,27,0,2512,32,407,0.2553191489361702,0.08526515831906238,38,50,0,0,1,0,0,0,0
129,Jimmychangas,0,Leona,56,43,33,14,15,39,4,12,13,13627,10629,1109,1751,35202,40,10,85,0,2512,122,377,0.3617021276595745,0.0808321320389716,65,69,0,0,0,0,0,0,1
130,Banksyy,1,Urgot,36,106,27,14,16,192,12,7,9,15972,25398,0,2596,25275,10,0,18,0,1642,350,191,0.8076923076923077,0.28513164400649604,42,53,3,3,0,0,0,1,0
131,Frommoh,1,Volibear,36,111,67,6,14,5,11,6,11,12549,15509,0,9828,27515,6,3,22,0,1642,458,116,0.8461538461538461,0.17411848018141218,40,39,2,0,0,1,0,0,0
132,Windows 95,1,Xerath,105,67,30,35,15,129,9,4,13,14594,27958,0,641,12493,10,3,36,0,1642,292,109,0.8461538461538461,0.31387110113527117,10,17,2,0,0,0,1,0,0
133,GotTits,1,Lucian,62,36,40,7,14,178,4,5,10,11725,12447,0,1469,13438,7,1,14,0,1642,3,151,0.5384615384615384,0.1397436859804358,19,12,0,3,1,0,0,0,0
134,Ausfreak,1,Blitzcrank,24,36,27,11,13,24,4,4,14,11119,7761,548,1624,15335,13,3,26,0,1642,230,122,0.6923076923076923,0.08713508869638485,35,24,0,3,0,0,0,0,1
135,Bec2002,0,Irelia,178,23,54,8,14,155,10,10,9,12625,22485,0,6713,32202,7,5,18,0,1642,57,276,0.475,0.30690039866891944,49,32,6,9,0,0,0,1,0
136,OUTLaws,0,Malphite,55,49,75,6,12,16,5,8,5,8898,9034,0,5601,22116,6,0,11,0,1642,578,214,0.25,0.12331441293882965,9,11,0,0,0,1,0,0,0
137,USLKHDavid17,0,Yasuo,205,18,147,5,13,140,5,7,6,10886,13204,0,1626,23224,8,3,19,0,1642,88,231,0.275,0.1802341320511721,49,7,1,4,0,0,1,0,0
138,ValhaIIa,0,Jinx,157,24,10,9,12,164,2,6,5,9908,12132,0,1073,14725,8,2,14,0,1642,43,138,0.175,0.16559194173162198,36,8,0,1,1,0,0,0,0
139,Belphie,0,Karma,88,25,100,43,12,14,4,9,7,8657,16408,3569,3351,20680,20,2,46,0,1642,271,240,0.275,0.22395911460945686,28,10,1,1,0,0,0,0,1
140,haven beer,1,DrMundo,115,28,63,9,14,175,3,9,6,12531,19496,0,6441,34816,5,1,10,0,1643,176,228,0.36,0.21227571493884395,37,22,1,4,0,0,0,1,0
