,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y
10,3724.0,1607.0,637.0,2275.0,1761.0,1025.0,668.0,597.0,1368.0,1892.0,1727.0,1376.0,1943.0,1305.0,1513.0,3183.0,2390.0,2395.0,6284.0,1999.0,6112.0,5655.0,2372.0,699.0,3111.0,2692.0,1254.0,2862.0,2446.0,2512.0,2140.0,2201.0,2328.0,1763.0,1474.0,2450.0,2266.0,1730.0,796.0,1595.0,2522.0,2838.0,4778.0,10752.0,3539.0,3690.0,9807.0,8558.0,3022,649.0,1489.0,4896.0,1899.0,2462.0,5421.0,2727.0,6924.0,1484.0,2894.0,1692.0,5054.0,2441.0,602.0,1157.0,1229.0,1551.0,3229.0,2158.0,2056.0,1204.0,1659.0,3299.0,837.0,1756.0,2694.0,2154.0,2149.0,2421.0,2247.0,2054.0,642.0,2806.0,2749.0,3604.0,3163.0,1375.0,2546.0,4202.0,2067.0,2876.0,2434.0,1971.0,3910.0,3499.0,3703.0,817.0,427.0,2376.0,1301.0,2125.0
11,4285.0,1911.0,1129.0,2300.0,1920.0,1025.0,668.0,597.0,1368.0,1986.0,2148.0,1376.0,2390.0,1846.0,1859.0,3265.0,3041.0,2802.0,6716.0,2759.0,6329.0,6109.0,2419.0,1478.0,3158.0,2966.0,2427.0,3383.0,2789.0,2512.0,2140.0,3183.0,2328.0,1763.0,1561.0,2505.0,2426.0,1730.0,796.0,1595.0,2522.0,3080.0,6446.0,12092.0,3539.0,4729.0,11187.0,11201.0,3300,1281.0,1489.0,4896.0,1899.0,2462.0,5857.0,3499.0,8285.0,2214.0,3127.0,1692.0,6085.0,2441.0,602.0,1157.0,2301.0,1927.0,3229.0,2158.0,3496.0,1828.0,2631.0,4102.0,837.0,1756.0,3013.0,2387.0,2250.0,3382.0,3440.0,2228.0,852.0,3881.0,3415.0,4529.0,3163.0,2267.0,2612.0,4202.0,2394.0,3743.0,2434.0,2445.0,4017.0,3636.0,3715.0,1341.0,861.0,2562.0,2771.0,2533.0
12,4798.0,2588.0,1243.0,2699.0,2297.0,1025.0,850.0,1222.0,1368.0,2022.0,2148.0,1654.0,2632.0,2338.0,1935.0,3768.0,3120.0,2802.0,7992.0,3095.0,7396.0,6880.0,2724.0,1991.0,3158.0,3237.0,2685.0,3703.0,3717.0,2512.0,2190.0,3449.0,2470.0,1763.0,1699.0,2827.0,2519.0,2214.0,1246.0,2171.0,3398.0,3912.0,7803.0,12918.0,3539.0,6101.0,13639.0,11229.0,3811,1281.0,2219.0,5891.0,2886.0,3205.0,5971.0,3499.0,8372.0,3374.0,3304.0,3233.0,7012.0,3234.0,1001.0,2109.0,2301.0,2080.0,3542.0,2158.0,3496.0,1911.0,2631.0,4646.0,1144.0,2964.0,4764.0,3398.0,2250.0,3508.0,3440.0,2228.0,1111.0,3881.0,3415.0,4529.0,3163.0,2576.0,4151.0,5739.0,3264.0,4823.0,2559.0,2445.0,4221.0,5096.0,3715.0,1341.0,1133.0,4149.0,4120.0,2567.0
13,5767.0,3162.0,1243.0,2699.0,2297.0,1025.0,850.0,1222.0,2180.0,2857.0,2374.0,1654.0,3208.0,2840.0,2246.0,3837.0,4587.0,2802.0,10819.0,3095.0,9881.0,9163.0,3136.0,1991.0,3710.0,3422.0,2812.0,4521.0,3717.0,2512.0,3536.0,3919.0,3196.0,2548.0,1924.0,2827.0,2519.0,2214.0,1246.0,2171.0,3398.0,3912.0,8056.0,13496.0,4585.0,6101.0,15388.0,,4082,1281.0,2219.0,5891.0,3290.0,3888.0,6730.0,4070.0,9561.0,4246.0,3304.0,3366.0,7555.0,3234.0,1001.0,2109.0,2588.0,2080.0,3542.0,2812.0,3496.0,2084.0,4026.0,5230.0,1825.0,3680.0,4764.0,4339.0,2521.0,3568.0,3440.0,2636.0,1189.0,4302.0,3872.0,4943.0,3572.0,3169.0,5063.0,7017.0,3264.0,4823.0,2559.0,2445.0,5025.0,5358.0,4675.0,1837.0,1894.0,5984.0,4120.0,2567.0
14,6606.0,3162.0,1927.0,3365.0,2753.0,1147.0,850.0,1272.0,2180.0,2857.0,2877.0,1654.0,3208.0,2840.0,2246.0,4502.0,5172.0,3976.0,10819.0,4287.0,12547.0,9163.0,3447.0,3221.0,4131.0,3698.0,3462.0,4875.0,4085.0,2975.0,3536.0,3919.0,3987.0,2548.0,2366.0,3092.0,2519.0,2912.0,1861.0,2578.0,5350.0,4109.0,9184.0,16229.0,5264.0,7079.0,16662.0,,5152,2103.0,2267.0,6764.0,3466.0,4835.0,7720.0,5022.0,10183.0,4246.0,4976.0,3366.0,8169.0,4176.0,1001.0,2109.0,2588.0,2080.0,3542.0,2812.0,3850.0,2196.0,4769.0,5376.0,1825.0,4286.0,4852.0,4974.0,2963.0,3978.0,3458.0,2636.0,2002.0,4302.0,4506.0,5978.0,4408.0,3169.0,6143.0,7017.0,3264.0,4823.0,3448.0,2445.0,6271.0,5997.0,4675.0,1837.0,2255.0,5984.0,4524.0,2850.0
15,6606.0,3162.0,1927.0,3582.0,3038.0,1147.0,901.0,2181.0,2180.0,3319.0,2877.0,1786.0,3382.0,3244.0,2628.0,5211.0,5172.0,3976.0,14086.0,4386.0,13004.0,10747.0,3720.0,3524.0,4843.0,5570.0,3657.0,4875.0,4223.0,3584.0,4178.0,5190.0,4990.0,2548.0,2490.0,3258.0,2687.0,2912.0,2266.0,2943.0,6594.0,4719.0,10722.0,16229.0,6108.0,7079.0,17274.0,,5152,2152.0,2436.0,6764.0,3683.0,7500.0,7924.0,5022.0,10556.0,5501.0,4976.0,3366.0,8169.0,5834.0,1001.0,2678.0,2827.0,3038.0,3542.0,2812.0,4361.0,2196.0,5074.0,5376.0,2023.0,4286.0,4852.0,5148.0,2963.0,4205.0,4551.0,2711.0,2002.0,4302.0,4506.0,6493.0,4408.0,3169.0,6143.0,8465.0,3264.0,6282.0,3448.0,3261.0,6819.0,6962.0,4675.0,2981.0,3147.0,6922.0,4911.0,3274.0
16,8152.0,3453.0,3066.0,3582.0,3284.0,1147.0,901.0,2181.0,2864.0,3319.0,3164.0,2196.0,3382.0,3244.0,3316.0,5244.0,5714.0,3976.0,17006.0,4386.0,17896.0,11667.0,,4123.0,6002.0,5925.0,3755.0,6061.0,5083.0,4596.0,4178.0,5190.0,4990.0,2548.0,2490.0,3659.0,2687.0,3545.0,2266.0,3259.0,8132.0,4719.0,12249.0,,6848.0,9154.0,18790.0,,6042,2152.0,2436.0,8334.0,3727.0,7544.0,10740.0,5444.0,10556.0,6601.0,4976.0,3556.0,9543.0,5834.0,1001.0,3432.0,3573.0,3361.0,3644.0,3030.0,4361.0,2432.0,5074.0,5561.0,2023.0,5723.0,5035.0,6581.0,2963.0,4412.0,4551.0,2959.0,2127.0,5869.0,4683.0,7084.0,4486.0,4589.0,6226.0,9340.0,3941.0,7123.0,3989.0,3824.0,8949.0,8438.0,4687.0,3399.0,3786.0,6922.0,6255.0,3274.0
17,9710.0,4235.0,3286.0,4447.0,3284.0,1251.0,901.0,2388.0,3014.0,3841.0,3301.0,2196.0,3382.0,4167.0,3316.0,6138.0,6652.0,4781.0,20048.0,4837.0,17896.0,13437.0,,6086.0,6130.0,5925.0,5620.0,6885.0,5463.0,6397.0,4178.0,6639.0,5310.0,2619.0,3162.0,4726.0,3485.0,4451.0,3258.0,3259.0,8132.0,4727.0,13704.0,,7010.0,9361.0,,,7243,2152.0,2754.0,9502.0,4088.0,7631.0,11814.0,5444.0,11063.0,7734.0,6711.0,3746.0,10165.0,7703.0,1001.0,3432.0,3573.0,3361.0,3644.0,3519.0,5941.0,2995.0,6819.0,5561.0,2023.0,6705.0,5217.0,6581.0,3374.0,5433.0,5333.0,2959.0,2750.0,5869.0,4919.0,7940.0,5631.0,6628.0,7241.0,10891.0,4002.0,7123.0,4254.0,4115.0,8949.0,8575.0,4687.0,4110.0,,8798.0,6255.0,3747.0
18,11673.0,4235.0,3286.0,4934.0,4221.0,,1279.0,2802.0,3516.0,3841.0,3301.0,2196.0,3382.0,4167.0,4137.0,6138.0,6898.0,5019.0,20662.0,4904.0,20938.0,13437.0,,6624.0,8436.0,6886.0,8180.0,8606.0,7495.0,6580.0,4178.0,6639.0,7466.0,2848.0,3162.0,5314.0,3722.0,4451.0,3258.0,,8693.0,5573.0,14720.0,,7522.0,9361.0,,,8001,2152.0,2754.0,10218.0,4088.0,7807.0,14312.0,5720.0,12515.0,7734.0,7317.0,3746.0,10655.0,7715.0,1693.0,3432.0,4233.0,5053.0,3827.0,4753.0,5992.0,3909.0,7490.0,7687.0,2268.0,9348.0,5217.0,8224.0,3569.0,5744.0,5333.0,3181.0,2897.0,7574.0,5543.0,10372.0,5799.0,8224.0,7241.0,13036.0,4002.0,8370.0,6067.0,4115.0,8949.0,9167.0,6132.0,4110.0,,8798.0,8005.0,3747.0
19,12743.0,5086.0,3827.0,4934.0,6285.0,,1279.0,2802.0,3551.0,4501.0,3786.0,2978.0,4770.0,4167.0,4891.0,6542.0,6898.0,5019.0,21005.0,4904.0,22963.0,,,8258.0,8436.0,6886.0,9478.0,9783.0,7495.0,8682.0,4805.0,7627.0,7466.0,2848.0,3162.0,5562.0,4011.0,5001.0,,,9861.0,6434.0,14720.0,,8009.0,11015.0,,,8189,2152.0,3297.0,11178.0,4088.0,7807.0,14852.0,5720.0,12515.0,7734.0,8515.0,4093.0,10717.0,7917.0,2946.0,4201.0,5449.0,5053.0,3827.0,4753.0,5992.0,4060.0,7712.0,9984.0,3691.0,9348.0,5217.0,8677.0,4245.0,5991.0,6538.0,3955.0,3288.0,9752.0,5543.0,11469.0,6146.0,10008.0,7241.0,13984.0,4108.0,10418.0,6067.0,4486.0,12079.0,10056.0,6644.0,4110.0,,11177.0,9349.0,3747.0
