,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y
10,6063.0,2746.0,1873.0,2946.0,3186.0,2181.0,1786.0,2225.0,2292.0,2083.0,2179.0,1978.0,2824.0,2072.0,3443.0,2864.0,3453.0,3494.0,5652.0,2863.0,8489.0,7233.0,3883.0,2547.0,3326.0,2773.0,2574.0,2569.0,2835.0,4227.0,2993.0,3827.0,3006.0,2972.0,2727.0,3082.0,2739.0,2400.0,2730.0,2676.0,3109.0,3421.0,6055.0,8773.0,3073.0,3380.0,7227.0,6689.0,3050,2763.0,2563.0,3371.0,2775.0,3422.0,3038.0,2749.0,5422.0,3712.0,3510.0,3662.0,6975.0,2791.0,2908.0,2371.0,2571.0,3238.0,3287.0,3258.0,3181.0,2457.0,3119.0,3706.0,3177.0,3080.0,2488.0,2824.0,2222.0,2695.0,3389.0,2687.0,2878.0,3891.0,3621.0,3265.0,3561.0,2580.0,4077.0,4069.0,2662.0,3256.0,3511.0,3170.0,3972.0,3986.0,3337.0,2841.0,2529.0,3294.0,2966.0,2767.0
11,6631.0,3262.0,2382.0,3094.0,3434.0,2395.0,1942.0,2489.0,2427.0,2238.0,2431.0,2258.0,3231.0,2678.0,3736.0,3036.0,3804.0,3917.0,6006.0,3215.0,8895.0,7971.0,4322.0,3021.0,3586.0,3015.0,3498.0,2692.0,3222.0,4565.0,3280.0,4678.0,3374.0,3137.0,3058.0,3330.0,3012.0,2535.0,3296.0,2891.0,3412.0,3704.0,7087.0,9218.0,3490.0,3700.0,8002.0,7135.0,3402,3010.0,2805.0,3702.0,3014.0,3840.0,3749.0,3139.0,5929.0,4057.0,3658.0,3986.0,7606.0,3094.0,3161.0,2637.0,3211.0,3361.0,3703.0,3624.0,3749.0,2632.0,3844.0,4367.0,3502.0,3306.0,2702.0,3183.0,2478.0,3026.0,4010.0,3012.0,3143.0,4330.0,4041.0,3646.0,3927.0,3303.0,4270.0,4319.0,3084.0,3910.0,4010.0,3534.0,4380.0,4179.0,3646.0,3244.0,2722.0,3437.0,3543.0,2890.0
12,7154.0,3874.0,2612.0,3258.0,3711.0,2734.0,2076.0,2950.0,2663.0,2422.0,2602.0,2482.0,3665.0,2812.0,3951.0,3859.0,3996.0,4184.0,6387.0,3337.0,9666.0,9579.0,4538.0,3227.0,3719.0,3221.0,3791.0,3046.0,3644.0,4772.0,3683.0,5324.0,3873.0,3526.0,3384.0,3452.0,3172.0,2669.0,3642.0,3037.0,3831.0,4039.0,7508.0,9620.0,3922.0,4005.0,8408.0,7283.0,3658,3273.0,3273.0,4386.0,3749.0,4283.0,3993.0,3458.0,6241.0,4629.0,3864.0,4805.0,8155.0,3328.0,3423.0,2990.0,3460.0,3892.0,4461.0,3872.0,4021.0,2767.0,4310.0,4657.0,3704.0,4122.0,3445.0,3746.0,2618.0,3336.0,4320.0,3173.0,3520.0,4473.0,4182.0,3937.0,4350.0,3639.0,4786.0,5075.0,3325.0,4095.0,4153.0,3770.0,4908.0,4684.0,4068.0,3582.0,2844.0,4000.0,3679.0,3411.0
13,7769.0,4152.0,2826.0,3493.0,4078.0,2955.0,2211.0,3118.0,2940.0,2933.0,2949.0,2616.0,3800.0,3251.0,4619.0,4619.0,4231.0,4512.0,7447.0,3775.0,11201.0,13305.0,4782.0,3511.0,4098.0,3553.0,3997.0,3273.0,3928.0,4994.0,4119.0,6111.0,3996.0,3795.0,3604.0,3911.0,3552.0,2926.0,3803.0,3178.0,4176.0,4298.0,8090.0,10316.0,4539.0,4232.0,8989.0,,3927,3542.0,3512.0,4739.0,4154.0,4469.0,4772.0,3580.0,6750.0,4814.0,4140.0,5137.0,8587.0,3584.0,3674.0,3250.0,3738.0,4232.0,4723.0,4399.0,4214.0,2948.0,4516.0,5292.0,4045.0,4474.0,3630.0,4174.0,2779.0,3497.0,4587.0,4164.0,3790.0,4687.0,4502.0,4087.0,4635.0,3950.0,5406.0,5746.0,3573.0,4796.0,4466.0,4082.0,5627.0,4912.0,4233.0,4016.0,3471.0,5165.0,3864.0,3575.0
14,8244.0,4372.0,3514.0,3932.0,4263.0,3175.0,2345.0,3336.0,3155.0,3073.0,3200.0,2751.0,4057.0,3673.0,5437.0,4883.0,4752.0,4998.0,7690.0,3898.0,13256.0,13658.0,5074.0,3730.0,4630.0,3790.0,4162.0,3696.0,4236.0,5229.0,4731.0,6531.0,4704.0,4139.0,3948.0,4354.0,3733.0,3060.0,4271.0,3599.0,4966.0,4676.0,8546.0,12026.0,4739.0,4655.0,9445.0,,4173,3665.0,3653.0,5255.0,4945.0,4592.0,5289.0,3738.0,7027.0,5000.0,4638.0,5418.0,9191.0,3973.0,3973.0,3492.0,4078.0,4446.0,5006.0,4808.0,4623.0,3108.0,4825.0,5415.0,4429.0,4747.0,3767.0,4503.0,2999.0,4014.0,4937.0,4577.0,4301.0,4851.0,5123.0,4534.0,5024.0,4301.0,5634.0,6221.0,3809.0,5031.0,5159.0,4304.0,6478.0,5048.0,4599.0,4238.0,3635.0,5509.0,4282.0,4000.0
15,8604.0,4610.0,3699.0,4122.0,4520.0,3345.0,2479.0,4034.0,3380.0,3494.0,3370.0,2925.0,4234.0,3834.0,5701.0,5026.0,5155.0,5221.0,8245.0,4139.0,13497.0,15298.0,5252.0,4020.0,4920.0,3975.0,4452.0,3986.0,4449.0,5560.0,5029.0,6734.0,5056.0,4445.0,4070.0,4825.0,3873.0,3294.0,4549.0,4066.0,5201.0,5168.0,9622.0,12278.0,5156.0,5065.0,10102.0,,4479,3962.0,3793.0,5546.0,5146.0,5964.0,5784.0,3965.0,7618.0,5427.0,4858.0,5869.0,9656.0,4151.0,4095.0,4091.0,4410.0,5045.0,5254.0,5140.0,4922.0,3248.0,5171.0,5684.0,4796.0,5171.0,4134.0,4703.0,3189.0,4205.0,5145.0,4910.0,4423.0,5247.0,5439.0,5131.0,5251.0,4598.0,5840.0,6904.0,4148.0,5674.0,5546.0,4588.0,7083.0,5170.0,4925.0,4374.0,3862.0,5787.0,4425.0,4197.0
16,9910.0,4890.0,4285.0,4350.0,4691.0,3661.0,2698.0,4458.0,3864.0,3634.0,3530.0,3177.0,4474.0,3984.0,6169.0,5233.0,5328.0,5612.0,8855.0,4412.0,15912.0,15569.0,,4443.0,5218.0,4098.0,4625.0,4259.0,5105.0,6037.0,5257.0,7006.0,5342.0,4762.0,4256.0,5153.0,4259.0,3614.0,4731.0,4381.0,5624.0,5354.0,10712.0,,5405.0,5865.0,10491.0,,5363,4085.0,4064.0,5855.0,5436.0,6122.0,6625.0,4123.0,7922.0,5774.0,5224.0,6282.0,10326.0,4379.0,4349.0,4421.0,4575.0,5301.0,5553.0,5354.0,5107.0,3469.0,5549.0,5841.0,5003.0,5521.0,4670.0,5426.0,3380.0,4414.0,5787.0,5100.0,4621.0,5619.0,5609.0,5254.0,5739.0,5013.0,6102.0,7690.0,4485.0,5797.0,5924.0,4778.0,7875.0,6124.0,5188.0,4752.0,3935.0,5909.0,4767.0,4404.0
17,10766.0,5186.0,4665.0,5055.0,5066.0,3881.0,2832.0,4681.0,4005.0,4084.0,3691.0,3318.0,4664.0,4700.0,6594.0,5430.0,6001.0,6189.0,9225.0,4606.0,16178.0,15876.0,,5025.0,5341.0,4506.0,5164.0,4507.0,5380.0,6329.0,5477.0,7292.0,5825.0,4933.0,4420.0,5916.0,4779.0,4623.0,5008.0,4452.0,5969.0,5865.0,11078.0,,5749.0,6076.0,,,5560,4207.0,4645.0,6605.0,5707.0,6294.0,7170.0,4399.0,9118.0,6365.0,5437.0,6669.0,10902.0,4648.0,4621.0,4830.0,4983.0,5946.0,5717.0,5566.0,5692.0,3819.0,6034.0,6118.0,5441.0,6117.0,4932.0,5773.0,3600.0,4880.0,5909.0,5455.0,4968.0,6020.0,5749.0,5571.0,6462.0,6066.0,6360.0,8493.0,4699.0,6107.0,6395.0,4961.0,8642.0,6254.0,5492.0,5063.0,,6280.0,5015.0,4576.0
18,11710.0,5424.0,5111.0,5289.0,5289.0,,3077.0,5219.0,4310.0,4280.0,3861.0,3458.0,4923.0,4840.0,7178.0,5658.0,6488.0,6486.0,9491.0,4956.0,16928.0,15907.0,,5314.0,5521.0,4684.0,5690.0,4964.0,5718.0,7124.0,6143.0,7461.0,6052.0,5440.0,4779.0,6642.0,5014.0,4763.0,5047.0,,6204.0,6157.0,11854.0,,6053.0,6438.0,,,6114,4329.0,4806.0,6888.0,6022.0,6578.0,7956.0,4521.0,10011.0,6643.0,6022.0,6924.0,11268.0,4874.0,4743.0,4970.0,5105.0,6423.0,5965.0,6288.0,5887.0,4019.0,6440.0,6838.0,5628.0,6994.0,5068.0,6306.0,4450.0,5302.0,6192.0,5898.0,5256.0,6543.0,6334.0,5847.0,6793.0,6733.0,6673.0,9050.0,4905.0,6808.0,6787.0,5205.0,8765.0,6377.0,6097.0,5286.0,,6487.0,5137.0,5015.0
19,12243.0,6030.0,5311.0,5430.0,5637.0,,3116.0,5460.0,4525.0,4563.0,4062.0,4574.0,5388.0,5030.0,7585.0,6187.0,6938.0,6840.0,9796.0,5198.0,17357.0,,,5608.0,5653.0,5091.0,6113.0,5748.0,5991.0,7755.0,6521.0,7988.0,6383.0,5796.0,5105.0,6988.0,5243.0,4969.0,,,6810.0,6685.0,12267.0,,6511.0,6957.0,,,6419,4452.0,5358.0,7136.0,6273.0,6806.0,8078.0,4644.0,10343.0,6975.0,6382.0,7202.0,11709.0,5116.0,5336.0,5602.0,6133.0,6556.0,6088.0,6648.0,6073.0,4270.0,7094.0,7344.0,6280.0,7440.0,5421.0,6781.0,4746.0,5442.0,7334.0,6226.0,5864.0,6839.0,6774.0,6379.0,7251.0,7166.0,7118.0,9164.0,5404.0,7410.0,7070.0,5383.0,9640.0,6761.0,6358.0,5740.0,,6835.0,5302.0,5137.0
