,0_x,0_y,0_x,0_y,0_x,0_y,0_x,0_y,0_x,0_y,0_x,0_y,0_x,0_y,0_x,0_y,0_x,0_y,0_x,0_y,0_x,0_y,0_x,0_y,0_x,0_y,0_x,0_y,0_x,0_y,0_x,0_y,0_x,0_y,0_x,0_y,0_x,0_y,0_x,0_y,0_x,0_y,0_x,0_y,0_x,0_y,0_x,0_y,0_x,0_y,0_x,0_y,0_x,0_y,0_x,0_y,0_x,0_y,0_x,0_y,0_x,0_y,0_x,0_y,0_x,0_y,0_x,0_y,0_x,0_y,0_x,0_y,0_x,0_y,0_x,0_y,0_x,0_y,0_x,0_y,0_x,0_y,0_x,0_y,0_x,0_y,0_x,0_y,0_x,0_y,0_x,0_y,0_x,0_y,0_x,0_y,0_x,0_y,0_x,0_y
0,1400.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,950.0,500.0,950.0,950.0,950.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,1400.0,1400.0,500.0,500.0,1400.0,1400.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,1400.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
1,1403.0,500.0,500.0,769.8571428571429,500.0,500.0,504.0,500.0,502.85714285714283,503.57142857142856,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,950.0,500.0,950.0,950.0,950.7142857142857,500.0,502.85714285714283,500.0,500.0,500.0,500.0,500.0,500.0,500.0,582.8571428571429,500.0,500.0,500.0,569.4285714285714,500.0,500.0,567.1428571428571,500.0,502.14285714285717,1453.2857142857142,1415.7142857142858,502.85714285714283,576.4285714285714,1403.0,1491.7142857142858,500.0,500.0,500.0,500.0,500.0,500.0,505.7142857142857,500.0,500.0,500.0,500.0,655.7142857142857,1403.0,570.7142857142857,582.8571428571429,568.4285714285714,500.0,500.0,500.0,500.0,500.0,500.0,500.0,580.0,505.7142857142857,582.7142857142857,502.85714285714283,500.0,500.0,508.57142857142856,500.0,500.0,500.0,500.0,500.0,500.0,500.0,502.2857142857143,501.42857142857144,500.0,500.0,500.0,500.0,500.0,582.7142857142857,500.0,508.57142857142856,500.0,500.0,500.0,500.0,500.0
2,2007.4285714285713,593.0,660.1428571428571,858.5714285714286,573.0,597.7142857142857,596.8571428571429,596.8571428571429,609.4285714285714,607.0,607.5714285714286,590.5714285714286,596.8571428571429,599.8571428571429,606.4285714285714,594.7142857142857,587.5714285714286,584.5714285714286,1270.7142857142858,596.4285714285714,1174.2857142857142,1253.857142857143,1049.2857142857142,686.7142857142857,594.5714285714286,599.7142857142857,601.2857142857143,586.8571428571429,642.8571428571429,653.4285714285714,594.0,584.5714285714286,683.0,586.0,607.0,592.8571428571429,688.2857142857143,669.5714285714286,609.7142857142857,661.8571428571429,594.4285714285714,707.2857142857143,2078.0,2006.7142857142858,609.8571428571429,654.7142857142857,2053.1428571428573,2066.1428571428573,599.1428571428571,581.2857142857143,597.5714285714286,589.2857142857143,591.5714285714286,592.5714285714286,590.4285714285714,598.1428571428571,593.5714285714286,598.5714285714286,588.5714285714286,775.0,1986.4285714285713,688.1428571428571,663.4285714285714,694.7142857142857,598.2857142857143,605.5714285714286,642.7142857142857,583.1428571428571,579.7142857142857,593.8571428571429,590.8571428571429,673.5714285714286,596.2857142857143,666.5714285714286,636.5714285714286,643.7142857142857,592.5714285714286,595.8571428571429,592.5714285714286,582.4285714285714,583.4285714285714,594.8571428571429,595.8571428571429,600.5714285714286,597.1428571428571,594.1428571428571,641.5714285714286,584.5714285714286,610.4285714285714,596.4285714285714,599.1428571428571,606.5714285714286,703.0,597.5714285714286,663.1428571428571,582.2857142857143,661.2857142857143,597.1428571428571,588.8571428571429,601.4285714285714
3,2594.1428571428573,927.0,1106.0,1143.0,937.1428571428571,875.2857142857143,1046.857142857143,877.7142857142857,929.4285714285714,975.5714285714286,870.7142857142857,965.5714285714286,991.8571428571429,986.7142857142857,1002.0,882.5714285714286,880.0,873.0,1678.5714285714287,1059.4285714285713,1921.7142857142858,1858.857142857143,1478.7142857142858,966.4285714285714,1038.7142857142858,1021.1428571428571,991.1428571428571,957.8571428571429,1028.2857142857142,964.7142857142857,907.2857142857143,905.4285714285714,1101.0,944.7142857142857,1009.7142857142857,893.4285714285714,997.1428571428571,996.2857142857143,1019.7142857142857,1037.857142857143,999.8571428571429,1018.1428571428571,2702.8571428571427,2762.1428571428573,992.2857142857143,1004.4285714285714,2698.285714285714,2731.4285714285716,913.0,884.5714285714286,977.7142857142857,931.1428571428571,885.2857142857143,895.0,1111.7142857142858,921.8571428571429,938.0,909.8571428571429,872.4285714285714,1078.142857142857,2768.285714285714,1026.7142857142858,991.5714285714286,967.5714285714286,928.1428571428571,917.2857142857143,932.8571428571429,1032.857142857143,942.1428571428571,920.1428571428571,897.7142857142857,1081.7142857142858,924.5714285714286,977.5714285714286,951.5714285714286,1110.2857142857142,875.7142857142857,986.2857142857143,942.0,953.2857142857143,872.1428571428571,882.5714285714286,1014.2857142857143,916.2857142857143,955.1428571428571,906.7142857142857,959.1428571428571,929.0,828.0,939.0,901.2857142857143,998.1428571428571,1074.7142857142858,1061.857142857143,952.0,842.1428571428571,1118.7142857142858,877.8571428571429,926.7142857142857,910.2857142857143
4,3357.8571428571427,1457.0,1362.5714285714287,1577.2857142857142,1407.5714285714287,1357.7142857142858,1402.2857142857142,1268.5714285714287,1252.857142857143,1269.142857142857,1279.857142857143,1470.4285714285713,1367.0,1374.142857142857,1385.7142857142858,1151.0,1240.2857142857142,1267.2857142857142,2254.714285714286,1317.857142857143,2390.1428571428573,2402.1428571428573,1865.2857142857142,1287.142857142857,1328.2857142857142,1402.5714285714287,1389.7142857142858,1339.5714285714287,1274.142857142857,1351.5714285714287,1295.0,1251.857142857143,1332.0,1403.2857142857142,1279.4285714285713,1346.2857142857142,1357.0,1440.5714285714287,1355.7142857142858,1364.4285714285713,1277.0,1317.142857142857,3419.8571428571427,3293.285714285714,1283.7142857142858,1266.4285714285713,3416.1428571428573,3582.5714285714284,1271.0,1194.7142857142858,1242.7142857142858,1375.2857142857142,1197.4285714285713,1226.2857142857142,1475.142857142857,1285.5714285714287,1327.857142857143,1264.7142857142858,1240.142857142857,1431.2857142857142,3355.714285714286,1443.4285714285713,1279.5714285714287,1351.142857142857,1395.7142857142858,1227.857142857143,1309.0,1416.4285714285713,1239.142857142857,1295.142857142857,1191.0,1357.857142857143,1428.7142857142858,1279.2857142857142,1352.4285714285713,1373.142857142857,1247.0,1235.5714285714287,1199.142857142857,1302.142857142857,1193.857142857143,1378.0,1338.142857142857,1287.2857142857142,1242.0,1202.5714285714287,1313.142857142857,1352.0,1189.5714285714287,1312.2857142857142,1362.5714285714287,1393.5714285714287,1539.857142857143,1462.0,1210.142857142857,1112.7142857142858,1441.857142857143,1168.7142857142858,1212.0,1342.0
5,4070.4285714285716,1784.2857142857142,1827.857142857143,1925.4285714285713,1774.142857142857,1756.0,1760.4285714285713,1620.142857142857,1511.7142857142858,1711.2857142857142,1521.857142857143,1771.0,1734.7142857142858,1769.5714285714287,1719.5714285714287,1485.142857142857,1570.7142857142858,1617.7142857142858,3003.1428571428573,1704.7142857142858,3007.5714285714284,3333.5714285714284,2433.1428571428573,1698.5714285714287,1873.857142857143,1682.857142857143,1934.2857142857142,1613.0,1581.5714285714287,1669.2857142857142,1572.857142857143,1542.7142857142858,1610.5714285714287,1718.142857142857,1583.857142857143,1684.857142857143,1681.2857142857142,1955.5714285714287,1742.0,1853.4285714285713,1614.2857142857142,1725.857142857143,4063.5714285714284,3850.1428571428573,1582.7142857142858,1611.857142857143,4156.857142857143,4287.285714285715,1560.0,1545.5714285714287,1581.142857142857,1614.7142857142858,1457.5714285714287,1618.4285714285713,1824.142857142857,1648.2857142857142,1639.142857142857,1567.2857142857142,1562.857142857143,1710.2857142857142,4055.8571428571427,1690.142857142857,1606.4285714285713,1625.7142857142858,1696.2857142857142,1588.0,1555.5714285714287,1729.4285714285713,1526.5714285714287,1604.4285714285713,1487.7142857142858,1668.0,1676.5714285714287,1671.2857142857142,1692.142857142857,1661.0,1483.5714285714287,1625.2857142857142,1551.0,1678.7142857142858,1516.0,1693.2857142857142,1627.7142857142858,1533.857142857143,1704.4285714285713,1508.4285714285713,1603.4285714285713,1638.0,1554.4285714285713,1619.7142857142858,1659.4285714285713,1795.2857142857142,1811.2857142857142,1779.2857142857142,1605.4285714285713,1418.4285714285713,1815.2857142857142,1417.142857142857,1583.2857142857142,1618.4285714285713
6,4807.428571428572,2094.5714285714284,2120.714285714286,2309.285714285714,2020.7142857142858,2127.285714285714,2117.714285714286,1980.142857142857,1843.0,1955.5714285714287,1810.5714285714287,2018.2857142857142,2216.285714285714,2110.285714285714,2031.7142857142858,1970.142857142857,1893.7142857142858,1931.2857142857142,3550.285714285714,1891.0,3587.714285714286,3886.1428571428573,2946.285714285714,2043.2857142857142,2390.285714285714,2017.5714285714287,2217.0,1827.857142857143,2018.857142857143,1990.857142857143,1874.0,1788.142857142857,1946.5714285714287,2099.4285714285716,1934.5714285714287,2027.5714285714287,2085.8571428571427,2272.4285714285716,2083.8571428571427,2243.1428571428573,1886.7142857142858,2017.2857142857142,4641.857142857143,4586.571428571428,1867.142857142857,1929.142857142857,4893.714285714285,4775.571428571428,1913.7142857142858,1806.7142857142858,1968.857142857143,1892.5714285714287,1756.0,1874.5714285714287,2284.285714285714,1902.5714285714287,1979.2857142857142,1826.5714285714287,1845.4285714285713,2180.285714285714,4775.0,2059.714285714286,1992.5714285714287,1978.142857142857,2154.1428571428573,1946.4285714285713,1934.0,2036.142857142857,1847.857142857143,2036.857142857143,1854.2857142857142,1989.0,2128.1428571428573,1927.0,2011.2857142857142,2056.4285714285716,1792.2857142857142,1856.5714285714287,1841.2857142857142,2147.285714285714,1868.857142857143,2143.8571428571427,1959.5714285714287,1784.5714285714287,1978.2857142857142,1842.4285714285713,1971.2857142857142,1966.142857142857,1800.4285714285713,1929.5714285714287,2013.7142857142858,2146.714285714286,2147.0,2039.2857142857142,1860.5714285714287,1657.857142857143,2126.714285714286,1699.4285714285713,1856.4285714285713,2055.285714285714
7,5470.0,2436.0,2440.0,2852.0,2397.4285714285716,2518.285714285714,2478.1428571428573,2362.285714285714,2118.285714285714,2396.0,2068.4285714285716,2350.8571428571427,2578.0,2448.0,2507.285714285714,2307.4285714285716,2249.4285714285716,2196.285714285714,3973.714285714286,2214.1428571428573,4352.0,4445.714285714285,3608.8571428571427,2372.8571428571427,2641.285714285714,2471.5714285714284,2540.285714285714,2216.1428571428573,2305.1428571428573,2318.0,2077.4285714285716,2131.714285714286,2414.1428571428573,2463.8571428571427,2169.285714285714,2324.8571428571427,2677.5714285714284,2736.1428571428573,2432.0,2490.0,2269.5714285714284,2380.0,5135.571428571428,5347.857142857143,2197.8571428571427,2401.0,5556.857142857143,5543.285714285715,2152.714285714286,2122.8571428571427,2330.8571428571427,2167.5714285714284,2212.0,2340.5714285714284,2695.8571428571427,2240.5714285714284,2341.4285714285716,2131.1428571428573,2169.8571428571427,2414.4285714285716,5472.285714285715,2355.0,2416.0,2472.714285714286,2467.285714285714,2328.4285714285716,2320.285714285714,2362.0,2256.8571428571427,2288.5714285714284,2330.714285714286,2280.8571428571427,2404.0,2162.5714285714284,2444.285714285714,2321.4285714285716,2094.4285714285716,2227.0,2174.1428571428573,2483.714285714286,2205.1428571428573,2529.4285714285716,2357.285714285714,2054.1428571428573,2372.5714285714284,2092.4285714285716,2276.5714285714284,2196.8571428571427,2175.4285714285716,2229.714285714286,2273.4285714285716,2553.4285714285716,2427.0,2389.0,2121.714285714286,1980.5714285714287,2435.4285714285716,1979.857142857143,2177.0,2419.5714285714284
8,6194.571428571428,2754.714285714286,2846.285714285714,3241.285714285714,2764.0,2837.8571428571427,2886.5714285714284,2692.285714285714,2676.1428571428573,2747.4285714285716,2430.5714285714284,2772.4285714285716,2982.8571428571427,2863.0,2773.0,2660.5714285714284,2733.0,2575.714285714286,4558.857142857143,2557.5714285714284,5044.857142857143,5340.714285714285,4372.142857142857,2857.5714285714284,2954.4285714285716,2752.0,2929.285714285714,2515.714285714286,2741.714285714286,2656.5714285714284,2479.4285714285716,2442.1428571428573,2751.8571428571427,2785.714285714286,2538.5714285714284,2724.714285714286,3149.0,2974.0,2832.1428571428573,2882.1428571428573,2620.0,2886.0,5878.714285714285,5959.428571428572,2544.8571428571427,2701.8571428571427,6316.0,6135.857142857143,2653.285714285714,2458.5714285714284,2658.5714285714284,2530.4285714285716,2507.4285714285716,2709.0,3044.285714285714,2533.4285714285716,2844.1428571428573,2498.5714285714284,2566.285714285714,2923.714285714286,6283.142857142857,2742.285714285714,2835.1428571428573,2815.4285714285716,3058.714285714286,2743.4285714285716,2690.8571428571427,2750.4285714285716,2648.8571428571427,2680.714285714286,2678.5714285714284,2713.714285714286,2698.285714285714,2537.285714285714,2742.1428571428573,2768.4285714285716,2515.4285714285716,2518.714285714286,2445.714285714286,2781.714285714286,2528.4285714285716,2813.4285714285716,2714.714285714286,2430.285714285714,2695.714285714286,2425.5714285714284,2675.1428571428573,2685.5714285714284,2556.4285714285716,2521.1428571428573,2615.1428571428573,3008.0,2850.714285714286,2824.8571428571427,2463.4285714285716,2353.1428571428573,2764.8571428571427,2252.714285714286,2607.5714285714284,2752.714285714286
9,6916.571428571428,3256.714285714286,3216.5714285714284,3778.5714285714284,3104.4285714285716,3285.5714285714284,3355.1428571428573,3085.5714285714284,3041.714285714286,3072.4285714285716,2713.714285714286,3086.0,3415.4285714285716,3227.0,3335.1428571428573,2948.8571428571427,3137.0,2932.8571428571427,5177.142857142857,2929.4285714285716,5562.285714285715,6100.714285714285,4847.857142857143,3184.8571428571427,3260.5714285714284,3089.0,3423.714285714286,2842.5714285714284,3106.714285714286,3126.8571428571427,2806.4285714285716,2852.4285714285716,3202.285714285714,3204.4285714285716,2891.5714285714284,3168.1428571428573,3521.8571428571427,3377.4285714285716,3208.285714285714,3165.8571428571427,2978.4285714285716,3184.714285714286,6589.714285714285,6764.857142857143,2921.0,3148.5714285714284,6893.428571428572,6855.285714285715,2946.5714285714284,2821.8571428571427,3108.714285714286,2797.714285714286,2824.8571428571427,3090.5714285714284,3443.0,2866.5714285714284,3176.285714285714,2874.8571428571427,2956.5714285714284,3336.5714285714284,6893.714285714285,3170.0,3227.0,3231.714285714286,3306.0,3098.8571428571427,3030.5714285714284,3076.714285714286,3026.1428571428573,3079.714285714286,3076.714285714286,3022.285714285714,3055.4285714285716,2783.285714285714,3225.285714285714,3023.8571428571427,2838.285714285714,2891.0,2740.1428571428573,3170.4285714285716,2922.1428571428573,3312.1428571428573,3165.8571428571427,2871.5714285714284,3016.8571428571427,2713.5714285714284,3065.0,2922.1428571428573,2898.4285714285716,2899.1428571428573,3151.5714285714284,3358.1428571428573,3253.0,3068.714285714286,2845.8571428571427,2702.714285714286,3134.4285714285716,2602.4285714285716,2970.1428571428573,3071.4285714285716
