,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y
10,3464.0,3813.0,3206.0,2824.0,3090.0,4491.0,3203.0,3954.0,3955.0,3750.0,3025.0,3660.0,3823.0,4179.0,3564.0,7705.0,3142.0,2939,3432.0,4594.0,4176.0,4030.0,3710.0,,3428.0,4240.0,3941.0,2838.0,2884.0,2723.0,3700.0,2650.0,2953.0,2763.0,3469.0,4631.0,3331.0,2931.0,2762.0,2813.0,4143.0,3337.0,3116.0,4083.0,8043.0,4121.0,4601.0,2595.0,3459.0,3907.0,3931.0,3707.0,2938.0,3382.0,3295.0,2980.0,4884.0,4536.0,4728.0,2822.0,2975.0,3071.0,3607.0,3265.0,3959.0,3414.0,2851.0,3125.0,3803.0,3928.0,4842.0,3091.0,3405.0,3621.0,7302.0,4312.0,3284.0,3364.0,3377.0,3453.0,3460.0,3793.0,3511.0,3075.0,2854.0,3476.0,3048.0,3887.0,3296.0,3609.0,3684.0,7183.0,3444.0,3874.0,3102.0,3127.0,3000.0,3588.0,3180.0,2635.0
11,3913.0,4471.0,3689.0,3049.0,3545.0,5004.0,3647.0,4151.0,4500.0,4759.0,3711.0,5207.0,4021.0,4813.0,4402.0,8165.0,3527.0,3447,3702.0,5384.0,5454.0,4180.0,4027.0,,4052.0,5001.0,4308.0,3438.0,3435.0,3411.0,3924.0,2945.0,3267.0,4248.0,4506.0,5135.0,3501.0,3395.0,3247.0,3287.0,4827.0,3722.0,3203.0,4567.0,10092.0,4824.0,5022.0,2689.0,4003.0,4348.0,4500.0,4153.0,3106.0,3887.0,4409.0,3457.0,5029.0,5164.0,5706.0,3372.0,3501.0,3071.0,4257.0,3679.0,4457.0,4205.0,3180.0,3806.0,4325.0,4499.0,5261.0,3696.0,3638.0,3928.0,8314.0,4462.0,4182.0,3423.0,3402.0,3618.0,3824.0,4113.0,3721.0,3579.0,2854.0,3513.0,3796.0,4153.0,3941.0,4097.0,4534.0,7483.0,4095.0,5533.0,3469.0,3850.0,3452.0,4159.0,3478.0,2748.0
12,4034.0,5190.0,3810.0,3600.0,3575.0,5520.0,4155.0,4781.0,4593.0,5199.0,4489.0,6039.0,4628.0,5247.0,5225.0,9495.0,3959.0,3939,4183.0,5928.0,5965.0,4937.0,4731.0,,4510.0,5576.0,4580.0,3866.0,4130.0,4145.0,4382.0,3250.0,3560.0,4634.0,4817.0,5890.0,3635.0,3518.0,3491.0,3694.0,5218.0,4221.0,3443.0,4656.0,10748.0,5337.0,5353.0,3104.0,4571.0,4878.0,4744.0,4804.0,3938.0,4510.0,4934.0,3825.0,5543.0,5976.0,5917.0,4010.0,4422.0,3641.0,4828.0,4777.0,5352.0,4442.0,3917.0,4256.0,5085.0,4886.0,6036.0,4304.0,4604.0,4334.0,9768.0,5327.0,4987.0,3423.0,3896.0,4223.0,4869.0,4476.0,4511.0,5103.0,3075.0,,4476.0,4221.0,3941.0,4341.0,5050.0,9118.0,4531.0,6201.0,3559.0,3850.0,3975.0,4417.0,4175.0,2976.0
13,4385.0,5428.0,4134.0,3956.0,4163.0,5949.0,4155.0,5153.0,5003.0,5821.0,5057.0,6420.0,5011.0,5704.0,5666.0,10361.0,4283.0,4455,4576.0,6348.0,6904.0,5478.0,5101.0,,4560.0,6176.0,5175.0,4426.0,4338.0,4405.0,4803.0,4458.0,3668.0,4842.0,5284.0,5890.0,4296.0,3787.0,4480.0,4270.0,6457.0,4867.0,4070.0,5380.0,11821.0,6378.0,5563.0,3166.0,5514.0,5354.0,6287.0,5234.0,4324.0,4661.0,5274.0,4342.0,5727.0,6314.0,6260.0,5067.0,4874.0,4349.0,4865.0,5075.0,5563.0,5120.0,4370.0,4422.0,6011.0,5092.0,6577.0,4725.0,5295.0,4805.0,10569.0,5327.0,5138.0,4041.0,3896.0,4732.0,5230.0,5273.0,4699.0,5540.0,3149.0,,5058.0,4635.0,4318.0,4690.0,5515.0,9941.0,4968.0,7107.0,3656.0,4120.0,4441.0,5098.0,4565.0,3948.0
14,5194.0,5961.0,4134.0,3956.0,4639.0,5949.0,4971.0,5994.0,5894.0,6092.0,5507.0,6762.0,5638.0,6202.0,6038.0,12487.0,4918.0,4591,4949.0,6652.0,7267.0,5728.0,5920.0,,5011.0,6690.0,5545.0,4426.0,4413.0,4926.0,5287.0,5002.0,3837.0,4910.0,6021.0,5890.0,4928.0,4337.0,4536.0,4525.0,7091.0,4988.0,5030.0,5732.0,13983.0,6766.0,5721.0,3465.0,6146.0,5819.0,7118.0,5659.0,4570.0,5304.0,5740.0,4861.0,6444.0,6615.0,6924.0,5699.0,5848.0,4998.0,5420.0,5777.0,6435.0,5497.0,4916.0,4835.0,6261.0,5298.0,7801.0,5587.0,5985.0,5142.0,11443.0,5927.0,5678.0,4439.0,5167.0,5374.0,6367.0,5597.0,5151.0,6697.0,3712.0,,5479.0,5356.0,4575.0,5890.0,5723.0,10508.0,5518.0,7600.0,4004.0,4559.0,4687.0,5397.0,4853.0,4307.0
15,5392.0,6464.0,4586.0,4184.0,4900.0,7071.0,5770.0,6737.0,7088.0,6571.0,6726.0,7816.0,6565.0,6473.0,6829.0,13834.0,4955.0,4629,5463.0,6712.0,8097.0,6481.0,6514.0,,5408.0,7324.0,5545.0,4912.0,4967.0,5368.0,5904.0,5415.0,4255.0,5841.0,6525.0,7010.0,5203.0,5025.0,4692.0,5261.0,7726.0,5649.0,5940.0,5904.0,14959.0,7340.0,6090.0,3899.0,6146.0,6531.0,7583.0,5868.0,5030.0,6092.0,6309.0,5431.0,6714.0,7497.0,7559.0,5699.0,6348.0,5241.0,6303.0,6290.0,7248.0,5989.0,5149.0,5531.0,6895.0,5845.0,8133.0,5795.0,6498.0,5525.0,12098.0,6364.0,6361.0,5074.0,5375.0,6113.0,6929.0,5597.0,5622.0,7038.0,4255.0,,5867.0,6348.0,6099.0,6793.0,6759.0,12050.0,5688.0,8694.0,4431.0,5109.0,4687.0,5749.0,5336.0,4420.0
16,5601.0,6633.0,4928.0,4184.0,5470.0,7583.0,6407.0,7890.0,7643.0,6992.0,6951.0,8628.0,7780.0,6849.0,6912.0,15701.0,5608.0,5056,5984.0,7147.0,8721.0,7164.0,6952.0,,6155.0,7324.0,6387.0,5471.0,5621.0,5562.0,6326.0,5625.0,4731.0,6095.0,7690.0,7066.0,5816.0,5888.0,4938.0,5373.0,7912.0,6237.0,6687.0,6478.0,17282.0,7793.0,6240.0,4199.0,6260.0,6918.0,8034.0,7098.0,5565.0,6615.0,6575.0,5978.0,6714.0,7739.0,8795.0,6281.0,6848.0,6139.0,6778.0,6863.0,7460.0,6193.0,5560.0,5941.0,7305.0,5964.0,8375.0,6121.0,7224.0,5618.0,12947.0,7098.0,7304.0,5553.0,5818.0,6471.0,7901.0,6563.0,6690.0,7661.0,4628.0,,5929.0,6943.0,6349.0,7009.0,7584.0,13121.0,6578.0,9741.0,5062.0,5839.0,6044.0,6308.0,6440.0,4597.0
17,6320.0,7715.0,4928.0,4184.0,5866.0,8163.0,6431.0,8421.0,8882.0,7928.0,6974.0,9343.0,8042.0,7133.0,7309.0,16172.0,6613.0,5374,6022.0,7289.0,8721.0,7826.0,7613.0,,6324.0,7875.0,6857.0,6017.0,6010.0,6198.0,6455.0,6055.0,4768.0,6095.0,8621.0,8915.0,6593.0,6626.0,6455.0,5659.0,8666.0,6441.0,6956.0,6628.0,19593.0,8483.0,7007.0,4681.0,7500.0,7840.0,8718.0,7582.0,6498.0,6857.0,7727.0,6335.0,,8010.0,9066.0,6300.0,7681.0,6975.0,7065.0,7631.0,8120.0,7096.0,5845.0,6173.0,7899.0,6235.0,9923.0,6909.0,7776.0,5907.0,14065.0,7340.0,8188.0,5569.0,6195.0,6864.0,8298.0,6820.0,6933.0,8501.0,4799.0,,6619.0,7215.0,6988.0,,7762.0,13421.0,7227.0,10399.0,6160.0,6124.0,6874.0,6994.0,7000.0,4847.0
18,6381.0,8624.0,4928.0,4694.0,6168.0,8918.0,6431.0,8863.0,9270.0,8169.0,7558.0,10192.0,8269.0,7378.0,8148.0,17019.0,7073.0,5682,6774.0,7584.0,9228.0,8110.0,8451.0,,6324.0,8568.0,7445.0,6476.0,6967.0,6727.0,6664.0,6528.0,5404.0,6095.0,9007.0,9109.0,6957.0,7103.0,6544.0,7704.0,8759.0,6886.0,7339.0,7263.0,,8871.0,7553.0,4944.0,7951.0,8571.0,9081.0,8009.0,6559.0,7541.0,8060.0,7280.0,,8737.0,9837.0,6497.0,8030.0,8338.0,7448.0,8503.0,8585.0,7866.0,6429.0,6262.0,8197.0,6356.0,10020.0,6924.0,8111.0,6127.0,15118.0,7533.0,8670.0,6325.0,7183.0,7101.0,8501.0,7152.0,7252.0,9135.0,5035.0,,7109.0,7753.0,7447.0,,8529.0,14433.0,7622.0,10508.0,6691.0,6649.0,7049.0,7182.0,7249.0,4966.0
19,6690.0,8911.0,5538.0,5249.0,6366.0,9325.0,7117.0,8863.0,9615.0,8856.0,7946.0,10649.0,9361.0,8291.0,8558.0,20732.0,7561.0,6176,7492.0,7705.0,9905.0,8962.0,9498.0,,6591.0,8862.0,7970.0,6582.0,7236.0,7704.0,7629.0,7286.0,5988.0,6412.0,9584.0,9146.0,7379.0,7592.0,7304.0,8453.0,9771.0,7119.0,,7385.0,,9869.0,7823.0,5697.0,8193.0,9047.0,10045.0,8753.0,7494.0,8278.0,9073.0,7340.0,,9188.0,10414.0,7088.0,8697.0,8583.0,7838.0,8503.0,8923.0,8139.0,6846.0,6539.0,8197.0,7262.0,10978.0,7289.0,8111.0,6407.0,16588.0,8248.0,9123.0,6362.0,7221.0,7265.0,8763.0,7840.0,7252.0,9498.0,5035.0,,7431.0,8911.0,7926.0,,9544.0,15462.0,7831.0,11158.0,7104.0,7060.0,7395.0,7649.0,7942.0,5576.0
