,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y,Damage_x,Damage_y
10,2083.0,1383.0,2806.0,5229.0,2295.0,2099.0,5206.0,2741.0,2419.0,1443.0,3158.0,3842.0,4078.0,2324.0,5107.0,2512.0,2935.0,4340.0,3284.0,4557.0,4569.0,3842.0,3475.0,2842.0,3126.0,2762.0,411.0,3846.0,2675.0,3118.0,5262.0,1424.0,2257.0,3683,2521.0,4319.0,2118.0,597.0,1126.0,1301.0,2691.0,8491.0,6227.0,3278.0,2381.0,5343.0,2203.0,5393.0,2545.0,4571.0,1413.0,2158.0,3839.0,4495.0,3286.0,5815.0,500.0,3625.0,4206.0,3251.0,5988.0,3211.0,2844.0,6005.0,3139.0,1764.0,1502.0,1599.0,3222.0,3524.0,3607.0,2674.0,1280.0,2378.0,3182.0,2245.0,2283.0,4606.0,1323.0,1525.0,1784.0,14351.0,2375.0,1326.0,3288.0,4871.0,2986.0,4125.0,3541.0,3009.0,3981.0,4965.0,3188.0,3123.0,5089.0,2347.0,2981.0,,5502.0,3446.0
11,2527.0,2592.0,3916.0,5229.0,2813.0,2099.0,5647.0,2741.0,2601.0,1845.0,3158.0,4754.0,5234.0,2324.0,5107.0,3064.0,2935.0,4340.0,4498.0,6170.0,5770.0,3842.0,3820.0,3172.0,4436.0,2762.0,411.0,3960.0,3591.0,3118.0,6789.0,2165.0,3353.0,4694,3598.0,5844.0,2118.0,1147.0,1502.0,1301.0,3885.0,8491.0,6519.0,3278.0,2381.0,6844.0,2203.0,5959.0,3197.0,5381.0,2162.0,4000.0,4039.0,4519.0,3286.0,6623.0,1266.0,4815.0,4206.0,3251.0,7642.0,3211.0,5056.0,6195.0,3572.0,2474.0,1502.0,2065.0,3222.0,4278.0,4255.0,2674.0,1995.0,2765.0,4322.0,2796.0,2714.0,5562.0,1459.0,1692.0,1784.0,16250.0,3041.0,2322.0,3849.0,5224.0,3640.0,4570.0,4829.0,3009.0,4698.0,5342.0,3801.0,3703.0,5089.0,2347.0,3992.0,,5866.0,3828.0
12,2527.0,2592.0,5116.0,6630.0,3681.0,2621.0,7448.0,2741.0,3450.0,1845.0,3249.0,5816.0,5234.0,2720.0,7711.0,3064.0,3151.0,4451.0,6426.0,7709.0,7363.0,5339.0,3820.0,3754.0,5087.0,3582.0,2420.0,4310.0,4916.0,3582.0,7866.0,2579.0,3353.0,6177,3896.0,7218.0,2118.0,2241.0,2248.0,1862.0,3885.0,10803.0,6519.0,4768.0,2698.0,6897.0,2637.0,7791.0,3907.0,5381.0,3225.0,4000.0,5900.0,4753.0,4022.0,7150.0,1266.0,5582.0,4206.0,4895.0,8181.0,4487.0,5930.0,8009.0,4650.0,3958.0,1714.0,2359.0,4215.0,4278.0,4255.0,3471.0,1995.0,2765.0,5187.0,3057.0,3159.0,5971.0,1609.0,3087.0,2421.0,21059.0,4163.0,2322.0,4177.0,5809.0,4263.0,5147.0,6446.0,3774.0,5029.0,5342.0,5974.0,4807.0,6378.0,2347.0,4709.0,,6976.0,3828.0
13,3252.0,3038.0,5116.0,6630.0,3681.0,3758.0,7448.0,3579.0,3633.0,2574.0,4244.0,7060.0,7828.0,2720.0,8640.0,3064.0,3801.0,6894.0,6679.0,9864.0,7363.0,6566.0,3820.0,3851.0,5677.0,3917.0,2420.0,5159.0,6316.0,4353.0,9151.0,3159.0,4885.0,7396,4163.0,7218.0,3835.0,2241.0,2903.0,2507.0,3885.0,12165.0,9658.0,5252.0,2978.0,7378.0,2637.0,8140.0,4656.0,6391.0,3317.0,5265.0,6905.0,4753.0,5391.0,8380.0,1266.0,6399.0,5639.0,5500.0,9621.0,4487.0,6723.0,8009.0,4650.0,5032.0,1942.0,2818.0,4595.0,5827.0,5415.0,4526.0,3463.0,2765.0,5421.0,3263.0,4136.0,6398.0,2402.0,4192.0,4751.0,21633.0,5252.0,2976.0,5215.0,7023.0,4263.0,5147.0,7248.0,3774.0,6096.0,6061.0,6630.0,5135.0,6378.0,2791.0,5086.0,,7970.0,4901.0
14,3252.0,3071.0,6643.0,6630.0,4251.0,4125.0,8857.0,3579.0,4665.0,3304.0,5355.0,7301.0,7828.0,4332.0,8640.0,3064.0,5242.0,7384.0,7198.0,10302.0,9581.0,6566.0,4448.0,4439.0,6158.0,3917.0,2420.0,6535.0,6844.0,4353.0,9585.0,3955.0,4885.0,7396,4302.0,10162.0,4818.0,2685.0,3579.0,3577.0,5424.0,14183.0,9658.0,6064.0,3598.0,8009.0,3424.0,10106.0,4656.0,6391.0,3476.0,5265.0,7143.0,5844.0,6065.0,8615.0,1934.0,7087.0,6753.0,6675.0,10016.0,4487.0,8645.0,9291.0,5593.0,5032.0,1942.0,3025.0,4997.0,6432.0,5415.0,5279.0,3775.0,3398.0,5421.0,3263.0,5382.0,6491.0,3548.0,4192.0,4751.0,24895.0,5349.0,3798.0,6468.0,7023.0,5040.0,5147.0,7248.0,4882.0,6356.0,6221.0,7422.0,5257.0,7019.0,3849.0,6705.0,,7970.0,6449.0
15,3861.0,4813.0,6643.0,6630.0,4621.0,5295.0,8857.0,5788.0,6410.0,3304.0,5355.0,8418.0,9098.0,4332.0,10270.0,4851.0,5303.0,8272.0,8080.0,10302.0,9581.0,6566.0,5318.0,7446.0,6158.0,5307.0,4537.0,6535.0,6844.0,5467.0,9585.0,4008.0,5513.0,9805,4960.0,10162.0,4818.0,3513.0,3579.0,3577.0,5605.0,15261.0,9658.0,6177.0,3598.0,8009.0,3809.0,10371.0,4695.0,7268.0,5066.0,6427.0,7426.0,5844.0,7372.0,12136.0,1934.0,9220.0,6753.0,6675.0,11128.0,5186.0,10712.0,9789.0,5729.0,5981.0,2514.0,3025.0,5260.0,6989.0,8006.0,6046.0,3775.0,3398.0,6401.0,3783.0,5813.0,7229.0,3548.0,5266.0,4751.0,26859.0,6686.0,4029.0,7411.0,7023.0,5688.0,5147.0,7448.0,4882.0,6356.0,6221.0,8837.0,7970.0,7501.0,3849.0,6705.0,,9101.0,6449.0
16,4919.0,4813.0,7407.0,7002.0,4621.0,5793.0,11276.0,6472.0,6410.0,5969.0,5355.0,9898.0,9098.0,5186.0,10270.0,5144.0,6206.0,9095.0,8878.0,10302.0,12333.0,6566.0,6719.0,7446.0,6599.0,6742.0,4537.0,6939.0,7423.0,5467.0,9959.0,4008.0,5513.0,9805,5257.0,10311.0,5577.0,3513.0,3579.0,4869.0,6077.0,16264.0,12473.0,6318.0,3598.0,8867.0,3809.0,11520.0,4835.0,8677.0,5362.0,6427.0,8646.0,5844.0,7372.0,14526.0,4105.0,9220.0,8024.0,7077.0,11725.0,6735.0,10881.0,10084.0,6905.0,7338.0,2514.0,3025.0,7096.0,9687.0,8939.0,7482.0,5232.0,4669.0,7235.0,3783.0,7279.0,9797.0,4160.0,7119.0,5733.0,28493.0,6686.0,4991.0,7411.0,7023.0,7952.0,6687.0,7448.0,6256.0,6356.0,6746.0,10234.0,7970.0,8968.0,4995.0,6791.0,,10899.0,7413.0
17,5030.0,4997.0,8892.0,8001.0,5317.0,9517.0,11886.0,7259.0,6600.0,5969.0,5355.0,11551.0,9098.0,6171.0,,5600.0,8202.0,9095.0,10566.0,13712.0,13054.0,8014.0,7051.0,7878.0,7528.0,8320.0,4970.0,6939.0,7423.0,5467.0,9959.0,6230.0,5513.0,11667,7054.0,14246.0,6548.0,3930.0,5222.0,5735.0,6658.0,16264.0,12473.0,7925.0,4086.0,8867.0,4326.0,14219.0,5217.0,8731.0,5362.0,7927.0,8646.0,8288.0,7372.0,15985.0,4105.0,9220.0,8024.0,8174.0,12491.0,11549.0,11960.0,11143.0,7954.0,8626.0,,3548.0,7430.0,9687.0,10487.0,7602.0,6140.0,4669.0,8470.0,5366.0,7279.0,10187.0,5578.0,7546.0,5733.0,32934.0,,5369.0,7411.0,8665.0,7952.0,7882.0,9253.0,6613.0,,8273.0,11544.0,9227.0,10082.0,4995.0,7581.0,,11236.0,7806.0
18,5030.0,5974.0,9132.0,13657.0,5317.0,9517.0,12040.0,8506.0,6600.0,7959.0,6599.0,11551.0,9098.0,6991.0,,5600.0,8946.0,10496.0,14465.0,13712.0,16787.0,8014.0,8251.0,9388.0,7943.0,8320.0,6154.0,6939.0,9016.0,5467.0,10435.0,6230.0,5981.0,11667,7205.0,15835.0,6548.0,,5629.0,6799.0,7901.0,17215.0,12679.0,9598.0,4557.0,10730.0,4920.0,14219.0,5217.0,10107.0,5967.0,7927.0,9610.0,8435.0,9353.0,17840.0,5771.0,10145.0,9095.0,8533.0,12491.0,11549.0,13605.0,13784.0,10664.0,9250.0,,3760.0,10790.0,10700.0,11944.0,8421.0,7081.0,4669.0,8470.0,8335.0,7916.0,11603.0,6684.0,12466.0,7381.0,33650.0,,6745.0,9493.0,9169.0,7952.0,9019.0,10159.0,6846.0,,8663.0,13082.0,9577.0,10082.0,5200.0,8081.0,,12147.0,8303.0
19,5030.0,5974.0,9132.0,13657.0,5317.0,,13487.0,8506.0,7007.0,9028.0,6753.0,11551.0,10589.0,8033.0,,6610.0,9715.0,11404.0,16037.0,15493.0,19849.0,8014.0,8251.0,11210.0,10645.0,9144.0,6375.0,10280.0,9516.0,8334.0,11783.0,7446.0,7367.0,12926,7545.0,20016.0,6548.0,,6098.0,6915.0,7901.0,17414.0,13030.0,10076.0,4557.0,14059.0,4920.0,14219.0,5909.0,10477.0,8202.0,9046.0,9610.0,8435.0,9612.0,18135.0,6121.0,12970.0,9759.0,9443.0,14755.0,11549.0,17009.0,13784.0,11510.0,9250.0,,4121.0,12027.0,10700.0,13275.0,8807.0,8344.0,5928.0,9148.0,10215.0,10058.0,13117.0,6803.0,14944.0,7935.0,36372.0,,8152.0,9493.0,9169.0,7952.0,9019.0,10159.0,7024.0,,8918.0,14936.0,10809.0,10195.0,5200.0,8880.0,,13503.0,8303.0
