,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y
10,7368.0,3090.0,2844.0,2563.0,3266.0,3112.0,1541.0,2502.0,2665.0,2557.0,2531.0,2210.0,2379.0,2924.0,3136.0,2948.0,5071.0,5277.0,5920.0,4103.0,8044.0,6535.0,5259.0,3758.0,4167.0,3105.0,3831.0,4246.0,4242.0,4232.0,2937.0,3215.0,3141.0,4183.0,2622.0,2928.0,2518.0,2634.0,2875.0,2972.0,4005.0,4126.0,6361.0,7921.0,4696.0,3622.0,8752.0,6928.0,4642,4146.0,2663.0,4751.0,2900.0,2846.0,2876.0,3135.0,3648.0,5015.0,4480.0,4574.0,8129.0,3461.0,2335.0,2878.0,2674.0,3985.0,4504.0,4433.0,4675.0,2506.0,4394.0,4559.0,4539.0,4942.0,4094.0,3730.0,2612.0,2843.0,4852.0,2869.0,2879.0,4923.0,2741.0,3983.0,4011.0,3806.0,4883.0,5569.0,3772.0,4436.0,5078.0,2936.0,4844.0,3398.0,3623.0,3114.0,4590.0,2770.0,4295.0,2623.0
11,8843.0,3590.0,3294.0,2908.0,3705.0,3339.0,1999.0,2748.0,2665.0,2744.0,3026.0,2722.0,2721.0,3397.0,3436.0,3121.0,5538.0,5908.0,6524.0,4767.0,8648.0,7271.0,6024.0,4547.0,4681.0,3426.0,5067.0,4284.0,4906.0,4839.0,3164.0,3823.0,3933.0,4334.0,3045.0,3017.0,2853.0,2826.0,3197.0,3372.0,4518.0,4692.0,7502.0,8480.0,5368.0,4316.0,9916.0,7486.0,5455,4559.0,3152.0,5115.0,3127.0,3443.0,3347.0,3649.0,4053.0,5529.0,4536.0,5027.0,9429.0,4035.0,2794.0,3273.0,3006.0,3985.0,4927.0,5007.0,5599.0,3038.0,5039.0,5693.0,5173.0,5510.0,4333.0,4387.0,3154.0,3201.0,5397.0,3142.0,3328.0,5725.0,2851.0,4617.0,4704.0,4244.0,5216.0,5906.0,4496.0,5524.0,5494.0,3033.0,5478.0,3772.0,4287.0,3341.0,4838.0,2951.0,5180.0,2716.0
12,9641.0,3892.0,3472.0,3158.0,4158.0,3662.0,2343.0,3247.0,2986.0,2986.0,3049.0,2820.0,3550.0,3609.0,3771.0,3982.0,5883.0,6469.0,7311.0,4767.0,9231.0,8038.0,6264.0,4968.0,4718.0,3693.0,5282.0,4828.0,5100.0,5009.0,3597.0,4182.0,4306.0,4968.0,3487.0,3017.0,3109.0,3089.0,3590.0,3630.0,5410.0,5187.0,8333.0,9118.0,6062.0,4890.0,10325.0,7930.0,5708,4923.0,3585.0,6089.0,3750.0,3863.0,3633.0,3928.0,4320.0,5753.0,4806.0,5617.0,10476.0,4395.0,3161.0,3773.0,3332.0,4415.0,5534.0,5583.0,6000.0,3068.0,5303.0,6206.0,5551.0,5781.0,4768.0,5048.0,3247.0,3811.0,5626.0,3180.0,3833.0,5815.0,3189.0,5135.0,5158.0,4818.0,5955.0,6335.0,4935.0,5888.0,5588.0,3126.0,6052.0,4127.0,5225.0,3817.0,4988.0,3508.0,5269.0,3482.0
13,10733.0,3998.0,3970.0,3158.0,4428.0,3699.0,2343.0,3528.0,3326.0,3508.0,3412.0,2869.0,3650.0,4162.0,4523.0,4131.0,6303.0,6909.0,8788.0,5491.0,10196.0,9260.0,6600.0,5332.0,5175.0,4120.0,5582.0,5098.0,5616.0,5360.0,3858.0,4360.0,4344.0,5510.0,3825.0,3801.0,3429.0,3477.0,3850.0,3808.0,5681.0,5495.0,8938.0,9852.0,6341.0,5242.0,11477.0,,6157,5464.0,3922.0,6360.0,4112.0,3960.0,4225.0,3951.0,4643.0,6024.0,5197.0,6058.0,11402.0,4666.0,3608.0,3988.0,3771.0,4956.0,6045.0,6096.0,6211.0,3430.0,5610.0,6888.0,6079.0,6151.0,5038.0,5423.0,3765.0,4039.0,6116.0,4052.0,4336.0,6163.0,3526.0,5376.0,5662.0,5348.0,6220.0,6845.0,5299.0,6878.0,6196.0,3431.0,6483.0,4365.0,5436.0,4147.0,5433.0,4670.0,5570.0,3742.0
14,11504.0,4072.0,4645.0,3755.0,4729.0,4015.0,2343.0,3923.0,3445.0,3508.0,3601.0,3391.0,4045.0,4557.0,4975.0,4579.0,7086.0,7833.0,9102.0,5491.0,11715.0,9775.0,6994.0,5698.0,5809.0,4517.0,5703.0,5235.0,5980.0,5690.0,4421.0,4975.0,4947.0,5963.0,4202.0,4345.0,3487.0,3553.0,4436.0,4307.0,6457.0,6129.0,9842.0,12448.0,6581.0,5614.0,12676.0,,6581,5464.0,4245.0,6981.0,4840.0,4157.0,4506.0,4063.0,4928.0,6354.0,5644.0,6376.0,12656.0,5308.0,4292.0,4384.0,4187.0,5286.0,6559.0,6730.0,6548.0,3619.0,6034.0,6888.0,6713.0,6452.0,5157.0,5989.0,3928.0,4836.0,6667.0,4743.0,4901.0,6373.0,4127.0,6069.0,6101.0,5862.0,6491.0,7132.0,5480.0,7413.0,7103.0,3636.0,7111.0,4436.0,5707.0,4356.0,5620.0,5017.0,6072.0,4014.0
15,11804.0,4553.0,4683.0,4074.0,5180.0,4294.0,2427.0,4614.0,3840.0,4143.0,3874.0,3655.0,4309.0,4917.0,5103.0,4692.0,7600.0,8174.0,10033.0,5910.0,11955.0,10398.0,7296.0,6061.0,6325.0,4671.0,6006.0,5538.0,6380.0,6131.0,4614.0,5310.0,5445.0,6320.0,4202.0,5255.0,3746.0,3824.0,4724.0,4995.0,6709.0,6959.0,11628.0,12831.0,7209.0,5830.0,14415.0,,6921,5948.0,4382.0,7345.0,5084.0,5043.0,4826.0,4232.0,5424.0,6945.0,6097.0,7143.0,13681.0,5488.0,4477.0,5038.0,4605.0,6107.0,6950.0,7243.0,6972.0,3805.0,6589.0,7522.0,7166.0,7086.0,5723.0,6170.0,4040.0,5042.0,6878.0,5024.0,5128.0,6938.0,4354.0,6695.0,6402.0,6403.0,6791.0,7888.0,6054.0,8178.0,7563.0,3963.0,7843.0,4461.0,6202.0,4627.0,5944.0,5471.0,6248.0,4424.0
16,13727.0,5041.0,5636.0,4188.0,5302.0,4578.0,2921.0,5009.0,4598.0,4143.0,3874.0,4069.0,4591.0,4956.0,5665.0,4870.0,7724.0,8740.0,10447.0,6329.0,14415.0,10957.0,,6229.0,6716.0,4671.0,6035.0,6575.0,6991.0,7043.0,4917.0,5518.0,5749.0,6681.0,4600.0,5673.0,4239.0,4153.0,4800.0,5643.0,6847.0,7230.0,13076.0,,7288.0,6331.0,15210.0,,7812,5948.0,4665.0,8106.0,5558.0,5270.0,5957.0,4322.0,5922.0,7602.0,6671.0,7807.0,15013.0,5852.0,5153.0,5327.0,4815.0,6619.0,7524.0,7757.0,7198.0,4196.0,7163.0,7695.0,7497.0,7695.0,6176.0,6435.0,4229.0,5608.0,7392.0,5155.0,5521.0,7159.0,4585.0,6757.0,6746.0,6895.0,7237.0,8718.0,6629.0,8253.0,8197.0,3986.0,8431.0,5242.0,6601.0,5726.0,6217.0,5471.0,6995.0,4694.0
17,15344.0,5366.0,5931.0,4898.0,5778.0,5453.0,2921.0,5296.0,4708.0,4634.0,4133.0,4203.0,4760.0,5725.0,6200.0,5148.0,8552.0,9404.0,11372.0,6701.0,14655.0,11606.0,,6777.0,6784.0,5344.0,6445.0,6871.0,7355.0,7330.0,5700.0,6092.0,6188.0,6952.0,4786.0,6537.0,4881.0,4690.0,5254.0,5643.0,7385.0,8051.0,13422.0,,7856.0,6689.0,,,7948,5948.0,5506.0,8646.0,5916.0,5270.0,6412.0,4896.0,6907.0,8288.0,7062.0,8411.0,16172.0,6244.0,5618.0,5741.0,5735.0,7102.0,7787.0,7823.0,8532.0,4683.0,7480.0,8209.0,7844.0,8173.0,6742.0,7129.0,4516.0,6120.0,7392.0,5973.0,6111.0,7618.0,4829.0,7007.0,7551.0,7768.0,7718.0,9246.0,6741.0,8676.0,8573.0,4247.0,9158.0,5315.0,6954.0,6327.0,,6010.0,7363.0,4957.0
18,17619.0,5586.0,6270.0,5280.0,6144.0,,3209.0,6231.0,5194.0,5067.0,4170.0,4600.0,5193.0,5725.0,7558.0,5331.0,9130.0,9833.0,11612.0,7176.0,15543.0,11640.0,,7257.0,6936.0,5523.0,7095.0,7323.0,7983.0,8295.0,6241.0,6552.0,6520.0,7388.0,5477.0,7073.0,5421.0,4856.0,5310.0,,7717.0,8423.0,15728.0,,8273.0,7355.0,,,8205,6131.0,5676.0,9099.0,6103.0,5743.0,6845.0,4896.0,7423.0,8704.0,8146.0,8871.0,16570.0,6548.0,5691.0,5741.0,5735.0,7523.0,8099.0,8121.0,8778.0,4879.0,8090.0,9127.0,8025.0,9293.0,6898.0,7614.0,4844.0,6661.0,7815.0,6435.0,6580.0,7938.0,5388.0,7332.0,7990.0,8298.0,8017.0,9609.0,7024.0,9775.0,8697.0,4572.0,9158.0,5315.0,8302.0,6327.0,,6220.0,7363.0,5313.0
19,18227.0,6495.0,6589.0,5317.0,6723.0,,3209.0,6246.0,5884.0,5552.0,4248.0,5314.0,6251.0,5725.0,8179.0,5883.0,9824.0,10173.0,12032.0,7596.0,16252.0,,,7740.0,6959.0,5712.0,7458.0,8565.0,8328.0,9256.0,6893.0,7025.0,6914.0,7942.0,5840.0,7575.0,5658.0,5192.0,,,8569.0,8835.0,16214.0,,8850.0,7587.0,,,8319,6206.0,6665.0,9670.0,6389.0,5874.0,6845.0,4896.0,7782.0,9186.0,8661.0,9141.0,17387.0,7030.0,6002.0,6570.0,6382.0,7538.0,8115.0,8697.0,8988.0,5053.0,9226.0,9699.0,8473.0,9657.0,7358.0,8567.0,5515.0,6859.0,8132.0,6850.0,7252.0,8418.0,5859.0,7586.0,8251.0,8697.0,8681.0,9641.0,7731.0,10215.0,9061.0,4958.0,9922.0,6094.0,9040.0,7042.0,,6829.0,7513.0,5666.0
