,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y,Gold_x,Gold_y
10,3514.0,3071.0,3407.0,4273.0,2832.0,3180.0,4115.0,3465.0,3565.0,3995.0,3872.0,4249.0,3646.0,4651.0,5645.0,3028.0,3389.0,4420.0,5094.0,4431.0,4598.0,3152.0,3781.0,3398.0,3544.0,3153.0,4051.0,3315.0,3887.0,4134.0,4943.0,3995.0,3118.0,3899,2615.0,3704.0,3673.0,3951.0,3229.0,3814.0,4139.0,6295.0,3916.0,2905.0,2651.0,3818.0,2968.0,4744.0,3373.0,4119.0,2872.0,4272.0,3664.0,4440.0,3980.0,4045.0,3829.0,4486.0,4102.0,3670.0,4862.0,3585.0,5046.0,5790.0,4805.0,3453.0,2808.0,2441.0,4254.0,4457.0,4729.0,3576.0,3136.0,3726.0,4250.0,3348.0,3503.0,4793.0,3280.0,4576.0,3593.0,8204.0,3424.0,3331.0,3637.0,3212.0,3608.0,3133.0,3778.0,2899.0,3511.0,4389.0,3918.0,4270.0,5642.0,3543.0,4135.0,,4999.0,3916.0
11,3775.0,4663.0,3773.0,4778.0,3157.0,3553.0,4447.0,3735.0,4366.0,4527.0,4288.0,4671.0,4519.0,5169.0,6306.0,3359.0,3776.0,4627.0,5779.0,5402.0,4888.0,3518.0,4754.0,3563.0,3772.0,3490.0,4204.0,3563.0,4568.0,4847.0,5736.0,4525.0,3474.0,4426,3015.0,4740.0,3927.0,4221.0,3539.0,4118.0,4262.0,6417.0,4309.0,3257.0,2792.0,4172.0,3216.0,5367.0,3683.0,4648.0,3128.0,4589.0,3955.0,4618.0,4165.0,4369.0,4498.0,5818.0,4384.0,4056.0,6124.0,3770.0,5780.0,6330.0,5087.0,3770.0,3132.0,2689.0,4683.0,4913.0,5554.0,4094.0,3434.0,4136.0,4449.0,3952.0,3790.0,5470.0,3618.0,4813.0,3792.0,9409.0,4170.0,4092.0,4368.0,3335.0,3964.0,3381.0,4662.0,3068.0,3683.0,4952.0,4262.0,4657.0,6029.0,3825.0,4827.0,,5301.0,4453.0
12,4039.0,4968.0,4727.0,4985.0,3671.0,4351.0,4915.0,4124.0,4662.0,4919.0,4593.0,5521.0,4963.0,5740.0,7970.0,3833.0,4144.0,4911.0,6302.0,6431.0,5580.0,4265.0,4996.0,4485.0,4176.0,3763.0,4463.0,4417.0,5082.0,5215.0,6298.0,4797.0,3758.0,4792,3453.0,5341.0,4301.0,5149.0,3756.0,5634.0,4769.0,7473.0,4608.0,4350.0,3142.0,4436.0,3722.0,6305.0,3963.0,5140.0,3334.0,4873.0,4247.0,4986.0,4789.0,4533.0,5021.0,6351.0,4656.0,4584.0,6429.0,4518.0,6581.0,6836.0,5353.0,4567.0,3439.0,2901.0,5700.0,5219.0,5938.0,4348.0,3728.0,4279.0,4887.0,4806.0,4162.0,5824.0,3835.0,5695.0,4513.0,10306.0,4524.0,4394.0,5067.0,3620.0,4350.0,4568.0,5196.0,3500.0,4058.0,5392.0,5569.0,5418.0,6927.0,4186.0,5054.0,,5480.0,4973.0
13,4548.0,5161.0,5083.0,5156.0,3983.0,4822.0,5283.0,4421.0,4934.0,5390.0,4990.0,6053.0,6358.0,6198.0,8662.0,4620.0,4622.0,5841.0,7031.0,7329.0,6096.0,4636.0,5346.0,4796.0,4726.0,3997.0,4871.0,4781.0,6403.0,5777.0,6797.0,5055.0,4200.0,5508,3713.0,5617.0,5071.0,5706.0,4459.0,5756.0,5101.0,7895.0,5318.0,4793.0,3303.0,4586.0,3883.0,7201.0,4860.0,6037.0,3519.0,5115.0,4370.0,5223.0,5219.0,6986.0,5362.0,6536.0,6016.0,5303.0,6636.0,4808.0,7366.0,7091.0,5887.0,5519.0,3666.0,3262.0,6738.0,5837.0,6700.0,5252.0,4689.0,4587.0,5122.0,5406.0,4927.0,6101.0,4440.0,6493.0,5460.0,10755.0,4695.0,4906.0,5345.0,4177.0,4734.0,5054.0,5970.0,3650.0,4542.0,6158.0,6009.0,5739.0,7631.0,4455.0,5347.0,,5707.0,5236.0
14,4926.0,5526.0,5490.0,5535.0,4340.0,5562.0,5513.0,4744.0,5132.0,5803.0,5713.0,6850.0,6667.0,7446.0,9598.0,5924.0,5022.0,6435.0,7445.0,7907.0,7052.0,4758.0,5872.0,5208.0,5043.0,4375.0,5309.0,5389.0,7031.0,5992.0,6920.0,5749.0,4393.0,5648,4213.0,6358.0,5413.0,6305.0,4776.0,6553.0,6244.0,8625.0,5483.0,4950.0,4383.0,4958.0,4572.0,7722.0,5000.0,6429.0,3775.0,5385.0,5098.0,5940.0,5720.0,7309.0,5529.0,6906.0,6561.0,5535.0,6934.0,5390.0,8460.0,8604.0,6189.0,5870.0,3870.0,3646.0,7066.0,6203.0,7100.0,5685.0,5227.0,5635.0,5437.0,5928.0,5290.0,6404.0,5397.0,6690.0,5769.0,11993.0,5123.0,5597.0,6435.0,4455.0,5619.0,6407.0,6588.0,4607.0,4693.0,7018.0,7542.0,6264.0,8414.0,4750.0,5874.0,,5913.0,5660.0
15,5378.0,6193.0,5874.0,5923.0,4612.0,6277.0,5957.0,5173.0,5485.0,6286.0,6105.0,7263.0,7270.0,8133.0,10521.0,6370.0,5836.0,6666.0,7895.0,8331.0,7414.0,5205.0,6065.0,6125.0,5448.0,5077.0,5859.0,5596.0,7493.0,6917.0,7744.0,6085.0,5471.0,5889,4435.0,6580.0,6024.0,6824.0,5084.0,7076.0,6686.0,9104.0,5920.0,5182.0,4523.0,5263.0,4981.0,8048.0,5370.0,7130.0,4017.0,5549.0,5325.0,6217.0,6132.0,8842.0,6043.0,8648.0,6854.0,5858.0,7699.0,6106.0,9228.0,9050.0,6530.0,6097.0,4006.0,3905.0,7420.0,6543.0,7871.0,5807.0,5632.0,5857.0,5860.0,6594.0,5738.0,6577.0,5885.0,7341.0,6080.0,12626.0,5867.0,5794.0,7130.0,4907.0,5965.0,6837.0,7004.0,4747.0,4920.0,7413.0,8585.0,7006.0,8805.0,5019.0,6164.0,,6503.0,5972.0
16,5993.0,6471.0,6027.0,6259.0,4940.0,6672.0,6376.0,5445.0,5727.0,7281.0,6287.0,7921.0,7638.0,8481.0,10622.0,6747.0,6228.0,7159.0,8461.0,8792.0,8173.0,5475.0,6386.0,6645.0,5896.0,5336.0,6420.0,5852.0,7616.0,7268.0,7916.0,6472.0,5891.0,6280,4575.0,7254.0,6769.0,7316.0,5362.0,7495.0,7601.0,9551.0,6173.0,5305.0,4664.0,5611.0,5447.0,8910.0,5571.0,7606.0,4245.0,6020.0,5598.0,6685.0,6614.0,9250.0,7240.0,9221.0,7496.0,6059.0,8060.0,6777.0,9549.0,9792.0,7027.0,7489.0,4191.0,4046.0,8055.0,8023.0,8057.0,6205.0,7708.0,6654.0,6472.0,7014.0,6107.0,8189.0,6419.0,8768.0,6542.0,13139.0,6072.0,6332.0,7366.0,5648.0,6509.0,7315.0,7397.0,5358.0,4957.0,7953.0,9536.0,7199.0,9398.0,5305.0,6692.0,,6730.0,6575.0
17,6230.0,7016.0,6295.0,6681.0,5390.0,8203.0,6711.0,5737.0,6054.0,7804.0,6633.0,8460.0,8060.0,8723.0,,7377.0,7129.0,7659.0,9156.0,9803.0,8651.0,6573.0,6815.0,6809.0,6443.0,6017.0,6593.0,6142.0,7997.0,7819.0,8353.0,7354.0,6187.0,7135,4716.0,8021.0,7371.0,7507.0,6298.0,8344.0,8459.0,9932.0,6813.0,6058.0,4824.0,6162.0,6022.0,9943.0,6011.0,8078.0,4784.0,6627.0,5909.0,7298.0,7473.0,9810.0,7708.0,9479.0,7941.0,6852.0,8697.0,7416.0,10364.0,10563.0,7240.0,7716.0,,4236.0,8577.0,8403.0,8707.0,6888.0,7890.0,7088.0,6669.0,8061.0,6231.0,8474.0,7258.0,9546.0,6797.0,14634.0,,6744.0,7914.0,6215.0,6779.0,7437.0,8254.0,5690.0,,8466.0,10337.0,8634.0,9820.0,5601.0,6885.0,,6903.0,7113.0
18,6381.0,7138.0,6482.0,9297.0,5687.0,8232.0,6964.0,6098.0,6297.0,9167.0,6770.0,8822.0,8579.0,9214.0,,7933.0,7656.0,7887.0,10139.0,10185.0,10134.0,6695.0,7821.0,7615.0,6657.0,6265.0,7097.0,6349.0,8334.0,8242.0,8740.0,7776.0,6393.0,7276,5316.0,8696.0,7494.0,,6747.0,8869.0,8885.0,10309.0,7370.0,7231.0,5004.0,7414.0,6258.0,10394.0,6266.0,8620.0,5595.0,7022.0,6032.0,7478.0,7696.0,10448.0,8318.0,10170.0,8636.0,7388.0,9015.0,7740.0,11181.0,11083.0,7372.0,8551.0,,4526.0,10427.0,8948.0,9361.0,7210.0,8254.0,7480.0,7329.0,8570.0,6534.0,8833.0,7917.0,11016.0,7494.0,15317.0,,7189.0,8882.0,6562.0,7059.0,7560.0,8518.0,5987.0,,8832.0,10809.0,8920.0,10179.0,6369.0,7149.0,,7472.0,7543.0
19,6677.0,7414.0,6830.0,9774.0,6004.0,,7086.0,6339.0,6541.0,10029.0,7104.0,9397.0,9486.0,9826.0,,8680.0,8053.0,8141.0,10765.0,10989.0,11030.0,7160.0,7943.0,8177.0,6779.0,6605.0,7219.0,6471.0,8506.0,8573.0,9488.0,8042.0,7246.0,7883,5486.0,9492.0,7672.0,,6870.0,9243.0,9058.0,10431.0,7701.0,7549.0,5145.0,8228.0,6399.0,10774.0,6557.0,9101.0,7169.0,7250.0,6289.0,7959.0,7978.0,10770.0,8637.0,10335.0,8857.0,7775.0,9802.0,8142.0,12149.0,11379.0,8054.0,8868.0,,4778.0,11493.0,9244.0,9952.0,8015.0,8561.0,8363.0,7451.0,9166.0,7356.0,9564.0,8352.0,12112.0,7646.0,16277.0,,7762.0,9283.0,6784.0,7531.0,8087.0,8650.0,6218.0,,9249.0,11587.0,9335.0,10505.0,6687.0,7398.0,,7608.0,8212.0
