,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y,xp_x,xp_y
10,4253.0,4237.0,4032.0,4331.0,4038.0,4203.0,4609.0,3777.0,4114.0,4373.0,4057.0,4082.0,4228.0,3983.0,3888.0,4454.0,4192.0,4975.0,3318.0,3723.0,4825.0,3569.0,3744.0,4051.0,4464.0,4518.0,3697.0,3994.0,3572.0,4767.0,3805.0,3907.0,4695.0,3375,2897.0,4040.0,3232.0,4203.0,3300.0,4073.0,4367.0,3663.0,3131.0,3022.0,2269.0,2471.0,3003.0,3158.0,2853.0,4788.0,4147.0,4210.0,3960.0,4119.0,4236.0,4089.0,4084.0,4751.0,3936.0,3256.0,4359.0,4495.0,4262.0,4400.0,4641.0,4352.0,3428.0,2197.0,3973.0,4594.0,3763.0,3557.0,3621.0,3090.0,4640.0,3812.0,3725.0,4532.0,3515.0,4197.0,4550.0,7835.0,4127.0,3512.0,3379.0,3566.0,3918.0,3868.0,4735.0,3288.0,4644.0,5766.0,3885.0,4591.0,4740.0,3356.0,3069.0,,4502.0,4740.0
11,4464.0,5001.0,4328.0,4614.0,4342.0,4822.0,5220.0,4081.0,4893.0,4667.0,4570.0,4298.0,4750.0,4786.0,4302.0,4877.0,4856.0,5185.0,4412.0,4514.0,5314.0,4143.0,4167.0,4232.0,4917.0,5152.0,3734.0,4355.0,4548.0,5401.0,4292.0,4977.0,5030.0,3848,3203.0,4528.0,3635.0,4398.0,3794.0,4445.0,4428.0,3663.0,3675.0,3667.0,2431.0,3012.0,3417.0,3852.0,3143.0,5499.0,4478.0,4633.0,4296.0,4264.0,4363.0,4587.0,4267.0,5596.0,3964.0,3728.0,4840.0,4705.0,5090.0,5032.0,5005.0,4854.0,3961.0,2840.0,4651.0,4714.0,4428.0,4482.0,4012.0,3786.0,4974.0,4413.0,4071.0,5272.0,4010.0,4457.0,4910.0,9367.0,4299.0,4109.0,3730.0,3796.0,4684.0,4127.0,6051.0,3393.0,4837.0,6291.0,4439.0,5202.0,5361.0,3520.0,3613.0,,4925.0,5444.0
12,4617.0,5364.0,4964.0,4873.0,4875.0,5053.0,5865.0,4655.0,5347.0,5282.0,5205.0,5196.0,5088.0,5678.0,4882.0,5541.0,5324.0,5647.0,5183.0,5289.0,5599.0,5066.0,4433.0,4882.0,5535.0,5532.0,3784.0,5003.0,5344.0,6036.0,4794.0,5280.0,5394.0,4154,3830.0,5268.0,4139.0,4983.0,3973.0,5579.0,5032.0,4366.0,3921.0,4344.0,3389.0,3334.0,4278.0,4454.0,3395.0,5854.0,4927.0,4936.0,4568.0,4898.0,5224.0,4890.0,5092.0,5961.0,4190.0,4249.0,5203.0,5839.0,5644.0,5567.0,5322.0,5598.0,4159.0,3067.0,4973.0,5168.0,4965.0,4883.0,4348.0,4049.0,5758.0,5178.0,4647.0,5729.0,4289.0,5163.0,5702.0,10074.0,4826.0,4458.0,4565.0,4048.0,5074.0,4735.0,6342.0,3922.0,5280.0,6962.0,4991.0,5876.0,6077.0,4020.0,3782.0,,5175.0,6213.0
13,5201.0,5402.0,5522.0,5193.0,5288.0,5537.0,6499.0,4968.0,5665.0,5719.0,5647.0,5678.0,6241.0,6489.0,5271.0,6295.0,5866.0,6252.0,5424.0,5899.0,6084.0,5508.0,5073.0,5261.0,5967.0,5862.0,4500.0,5484.0,5684.0,6439.0,5106.0,5564.0,5576.0,4715,3830.0,5749.0,4650.0,5943.0,4689.0,5579.0,5574.0,4471.0,4472.0,4549.0,3487.0,3431.0,4466.0,4585.0,3997.0,6495.0,5106.0,5207.0,4568.0,5206.0,5676.0,5973.0,5545.0,6412.0,5155.0,4737.0,5413.0,6320.0,6678.0,5927.0,6240.0,5931.0,4519.0,3359.0,5476.0,5910.0,5519.0,5628.0,5267.0,4456.0,6032.0,5854.0,4932.0,6020.0,5162.0,5904.0,6175.0,10644.0,4976.0,5045.0,4835.0,4378.0,5763.0,5306.0,6851.0,4039.0,5566.0,7998.0,5612.0,6113.0,6335.0,4251.0,4062.0,,5506.0,6612.0
14,5774.0,5885.0,6134.0,5713.0,6041.0,6235.0,6903.0,5292.0,5902.0,6251.0,6448.0,6213.0,6620.0,7175.0,5928.0,7172.0,6382.0,6999.0,6013.0,6802.0,6741.0,5508.0,6116.0,5615.0,6331.0,6844.0,5130.0,6260.0,6488.0,6747.0,5182.0,6304.0,5785.0,4991,4065.0,6927.0,5009.0,6729.0,5136.0,6362.0,6409.0,5015.0,4586.0,5064.0,4390.0,3979.0,5349.0,5490.0,4129.0,6990.0,5529.0,5660.0,5503.0,6148.0,6164.0,6367.0,5610.0,6821.0,5603.0,5024.0,5773.0,6894.0,7462.0,6595.0,6698.0,6530.0,4740.0,3893.0,5811.0,6656.0,6033.0,6206.0,5361.0,5006.0,6456.0,6731.0,5262.0,6550.0,6043.0,6219.0,6651.0,12225.0,5640.0,6201.0,5494.0,4686.0,6587.0,5940.0,7675.0,4737.0,5781.0,8362.0,6218.0,6563.0,6957.0,4501.0,4517.0,,6115.0,7013.0
15,6409.0,6470.0,6805.0,6523.0,6372.0,6968.0,7657.0,5817.0,6715.0,6962.0,7191.0,6551.0,7195.0,8274.0,6434.0,7733.0,7147.0,7316.0,6559.0,7473.0,7105.0,6148.0,6206.0,6020.0,6988.0,7422.0,5670.0,6517.0,7264.0,8027.0,5854.0,6727.0,6946.0,5387,4340.0,7075.0,6079.0,6927.0,5615.0,7197.0,6577.0,5315.0,5094.0,5544.0,4390.0,4298.0,5480.0,5822.0,4745.0,7568.0,5548.0,5912.0,5773.0,6661.0,6730.0,7538.0,6518.0,7637.0,6115.0,5378.0,6702.0,7388.0,8279.0,7169.0,7175.0,6801.0,4761.0,4345.0,6169.0,6959.0,6738.0,6206.0,5954.0,5237.0,6569.0,7283.0,5786.0,6550.0,6730.0,6983.0,7015.0,12920.0,6171.0,6435.0,6315.0,5471.0,6832.0,6480.0,8309.0,4737.0,6051.0,8996.0,6757.0,6686.0,7568.0,4652.0,4974.0,,6934.0,7319.0
16,6703.0,6741.0,6919.0,6999.0,6746.0,7315.0,8121.0,6150.0,7109.0,7541.0,7233.0,7153.0,7556.0,8786.0,6577.0,8068.0,7607.0,8077.0,7134.0,8254.0,7972.0,6540.0,6661.0,6682.0,7623.0,7816.0,6531.0,6700.0,7283.0,8291.0,5966.0,7321.0,7622.0,5556,4566.0,8498.0,6974.0,7994.0,6117.0,7806.0,7862.0,5520.0,5252.0,5786.0,4528.0,4298.0,6045.0,6429.0,4801.0,8299.0,5740.0,6524.0,6323.0,7595.0,7820.0,7991.0,7560.0,8033.0,6714.0,5668.0,7007.0,7995.0,8418.0,7329.0,7376.0,8058.0,5004.0,4574.0,7079.0,7798.0,6842.0,6712.0,6958.0,6281.0,7067.0,7917.0,6660.0,7927.0,7645.0,8574.0,7585.0,13220.0,6442.0,7189.0,6465.0,6381.0,7726.0,7209.0,8823.0,5393.0,6051.0,9745.0,7682.0,6844.0,8144.0,4844.0,5244.0,,7205.0,8028.0
17,7007.0,7618.0,7432.0,7633.0,7588.0,8489.0,8635.0,6445.0,7379.0,8496.0,8078.0,8062.0,8206.0,8924.0,,8264.0,8421.0,8633.0,7817.0,9385.0,8096.0,7766.0,7184.0,6771.0,8058.0,8747.0,6531.0,7073.0,7775.0,9157.0,6630.0,8160.0,8075.0,6160,4735.0,9860.0,7466.0,8154.0,7211.0,8763.0,8503.0,5915.0,6036.0,6616.0,4906.0,5148.0,6377.0,7459.0,5538.0,8680.0,6519.0,7095.0,6568.0,8128.0,8273.0,8419.0,8339.0,8263.0,7317.0,6048.0,7567.0,8439.0,9436.0,7776.0,7657.0,8489.0,,4901.0,7738.0,8283.0,7334.0,7335.0,7124.0,6914.0,7227.0,9765.0,6721.0,8444.0,8062.0,9581.0,7767.0,14698.0,,8040.0,7714.0,6827.0,8240.0,7247.0,9741.0,5880.0,,10000.0,8872.0,7718.0,8778.0,5207.0,5305.0,,7365.0,8655.0
18,7157.0,7745.0,7530.0,9319.0,8091.0,8489.0,9077.0,7169.0,7529.0,9524.0,8107.0,8756.0,8970.0,9529.0,,9424.0,9045.0,8904.0,8466.0,9897.0,9100.0,7827.0,7639.0,7796.0,8287.0,9138.0,7368.0,7344.0,8264.0,9791.0,7165.0,9160.0,8345.0,6160,5249.0,10419.0,7466.0,,8067.0,9532.0,8856.0,6379.0,6350.0,7375.0,5110.0,6010.0,6759.0,8069.0,5814.0,9092.0,7358.0,7820.0,6842.0,8345.0,8273.0,9473.0,8773.0,9169.0,8405.0,6517.0,7931.0,8892.0,10542.0,8357.0,7673.0,9330.0,,5272.0,9152.0,8511.0,8458.0,7839.0,7307.0,7355.0,8190.0,10576.0,7191.0,8879.0,8592.0,10740.0,8760.0,16048.0,,8579.0,7890.0,7084.0,8523.0,7247.0,9982.0,6224.0,,10562.0,9512.0,7777.0,9231.0,5583.0,5843.0,,8262.0,8888.0
19,7550.0,8109.0,8169.0,9678.0,8495.0,,9077.0,7484.0,7857.0,10227.0,8487.0,9746.0,9402.0,10396.0,,10075.0,9810.0,9283.0,9316.0,10834.0,9778.0,8424.0,7791.0,8192.0,8287.0,9471.0,7368.0,7374.0,8264.0,10086.0,7522.0,9368.0,9413.0,6958,5414.0,10990.0,7645.0,,8129.0,10036.0,8970.0,6379.0,6664.0,7498.0,5398.0,6800.0,6771.0,8582.0,6369.0,9570.0,9176.0,8200.0,7175.0,9022.0,8561.0,9997.0,8982.0,9225.0,8664.0,7061.0,8600.0,9526.0,11296.0,8660.0,8388.0,9693.0,,5504.0,9969.0,8875.0,8875.0,8732.0,7821.0,8159.0,8190.0,11630.0,7442.0,9530.0,9197.0,12224.0,8783.0,17366.0,,9047.0,8524.0,7233.0,9157.0,8244.0,10238.0,6721.0,,10863.0,9958.0,8227.0,9646.0,5982.0,6406.0,,8379.0,9890.0
