Frommoh,False,TOP,Renekton,42,27,42,6,12,134,2,7,2,9722,9401,0,2520,20357,3,0,13,0,1344,36,216,0,0,0,0,0,0
paramee,False,JUNGLE,Khazix,86,58,28,12,10,17,2,8,4,7215,9427,0,8571,24262,2,5,15,0,1344,285,193,0,0,0,0,0,0
DÅGGERS,False,MIDDLE,Zed,51,52,57,13,12,129,6,9,0,9459,11559,0,979,17273,3,0,7,0,1344,106,246,0,0,0,0,0,0
Billington,False,BOTTOM,Kaisa,41,31,31,6,10,97,3,5,2,7294,8670,0,1571,9387,2,1,2,0,1344,1,108,0,0,0,0,0,0
Nightmoon20,False,JUNGLE,Lux,30,19,65,5,10,14,2,6,5,6558,8981,1231,0,7581,13,0,22,0,1344,125,122,0,0,0,0,0,0
Frommoh,True,TOP,Nasus,168,40,62,10,17,194,5,7,6,16830,23845,0,3243,31717,4,2,10,0,1898,1682,224,0,0,0,0,0,0
ArtoriasAbysWlkr,True,JUNGLE,Trundle,167,74,38,12,16,23,9,6,18,15791,20382,0,16500,36420,10,2,24,0,1898,444,179,0,0,0,0,0,0
Fart guy,True,MIDDLE,Lux,92,37,233,13,17,172,12,3,11,17190,25619,2222,1743,13790,9,1,22,0,1898,555,94,0,0,0,0,0,0
COCAINEBABY,True,BOTTOM,Jhin,95,47,30,36,16,160,20,6,10,15710,31798,0,5495,20513,8,1,14,0,1898,164,177,0,0,0,0,0,0
yellow peril,True,UTILITY,Morgana,66,68,16,7,16,46,5,5,23,16399,18834,797,8694,21538,17,2,37,0,1898,101,94,0,0,0,0,0,0
Beatus My Meatus,False,TOP,Riven,323,59,96,19,16,191,5,6,7,15063,21593,0,6647,29853,8,1,22,0,1898,173,188,0,0,0,0,0,0
AlexSynthesis1,False,JUNGLE,Kindred,146,47,53,6,15,33,6,11,7,13756,15656,0,18805,37128,2,3,19,0,1898,241,329,0,0,0,0,0,0
E3calibur,False,MIDDLE,Syndra,166,145,39,10,17,218,10,9,7,16501,32863,0,1172,20648,6,2,14,0,1898,236,320,0,0,0,0,0,0
L Ø N G B O I,False,BOTTOM,Jax,54,114,34,12,14,170,5,13,4,12447,16012,0,8576,35363,10,1,15,0,1898,66,316,0,0,0,0,0,0
Yamsny,False,UTILITY,Taric,78,47,49,5,13,52,1,13,13,11187,7855,3661,6796,26367,15,5,40,0,1898,75,264,0,0,0,0,0,0
Frommoh,True,TOP,LeeSin,114,115,155,10,18,166,11,7,15,18706,27138,558,9895,36086,12,3,26,0,2013,465,177,0,0,0,0,0,0
Thornstar9,True,JUNGLE,Poppy,109,17,53,7,16,17,6,6,9,15348,11352,0,8158,24268,0,5,20,0,2013,713,163,0,0,0,0,0,0
Snow061097,True,MIDDLE,Yone,290,57,45,10,18,172,15,6,8,18398,25375,0,6614,27199,11,1,22,0,2013,168,182,0,0,0,0,0,0
Talbugdaxhi,True,BOTTOM,Lucian,75,41,41,10,15,175,9,5,7,14496,10922,0,4853,21377,10,1,18,0,2013,1,134,0,0,0,0,0,0
twinkykinky,True,UTILITY,Zyra,142,155,62,22,16,56,13,10,17,14716,37075,0,1018,20309,27,8,67,0,2013,138,321,0,0,0,0,0,0
PANTS OFF ,False,TOP,Quinn,60,20,35,29,16,200,9,7,6,16228,20767,0,3969,20115,11,3,24,0,2013,185,220,0,0,0,0,0,0
Jawsee,False,JUNGLE,MasterYi,59,6,42,12,13,22,7,13,7,11213,16847,0,8112,30103,12,1,19,0,2013,129,380,0,0,0,0,0,0
Pet Wheelchair,False,MIDDLE,Akshan,139,26,146,4,16,133,11,9,6,15792,28726,0,5671,26015,9,0,14,0,2013,21,299,0,0,0,0,0,0
Crucks,False,BOTTOM,Vayne,122,0,17,11,14,160,4,13,8,12927,13905,0,6851,28620,7,1,11,0,2013,57,310,0,0,0,0,0,0
SaltyAFSpartan,False,UTILITY,Maokai,37,16,118,11,13,28,3,12,10,11022,24869,0,5011,25934,25,4,49,0,2013,500,257,0,0,0,0,0,0
Miilk,True,TOP,Garen,23,6,19,1,8,55,2,2,0,4601,4916,0,234,5827,4,0,6,0,619,53,35,0,0,0,0,0,0
Sebek,True,JUNGLE,Viego,48,31,8,0,7,0,1,0,0,3405,400,0,3445,6365,3,0,8,0,619,127,0,0,0,0,0,0,0
ChadeHdKnC,True,MIDDLE,Ryze,47,6,66,0,9,92,0,0,0,5154,777,0,0,1290,1,0,1,0,619,10,0,0,0,0,0,0,0
Theo like you,True,BOTTOM,Ezreal,73,16,7,0,6,57,5,1,1,3005,6803,0,1050,4434,3,0,3,0,619,0,14,0,0,0,0,0,0
paolo002,True,UTILITY,Leona,14,11,6,1,6,13,1,1,5,2951,1670,0,204,3703,5,0,4,0,619,14,12,0,0,0,0,0,0
Frommoh,False,TOP,Renekton,25,13,20,2,8,59,0,2,2,4550,3633,0,1218,6307,2,0,1,0,619,15,33,0,0,0,0,0,0
GuukLord,False,JUNGLE,MasterYi,26,0,12,2,7,6,2,2,0,3904,2056,0,2609,6189,3,0,5,0,619,66,26,0,0,0,0,0,0
Checo,False,Invalid,Lissandra,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,619,0,0,0,0,0,0,0,0
Be kind rewind,False,BOTTOM,MissFortune,22,11,6,1,6,67,1,2,0,2878,3092,0,886,4109,0,0,0,0,619,12,6,0,0,0,0,0,0
